"","Gargett.ï..Year","Gargett.Season","Gargett.Scenario","Gargett.Site","Gargett.Habitat","Mirani.ï..Year","Mirani.Season","Mirani.Scenario","Mirani.Site","Mirani.Habitat","Sarichs.ï..Year","Sarichs.Season","Sarichs.Scenario","Sarichs.Site","Sarichs.Habitat","Whitefd.ï..Year","Whitefd.Season","Whitefd.Scenario","Whitefd.Site","Whitefd.Habitat"
"17",1905,"Jan-Mar","PD","Gargett",14.4,1905,"Jan-Mar","PD","Mirani",8.03,1905,"Jan-Mar","PD","Sarichs",3.34,1905,"Jan-Mar","PD","Whitefd",0.7
"18",1906,"Jan-Mar","PD","Gargett",8.69,1906,"Jan-Mar","PD","Mirani",9.43,1906,"Jan-Mar","PD","Sarichs",4.85,1906,"Jan-Mar","PD","Whitefd",3.68
"19",1907,"Jan-Mar","PD","Gargett",10.31,1907,"Jan-Mar","PD","Mirani",9.77,1907,"Jan-Mar","PD","Sarichs",5.92,1907,"Jan-Mar","PD","Whitefd",4.6
"20",1908,"Jan-Mar","PD","Gargett",16.12,1908,"Jan-Mar","PD","Mirani",9.4,1908,"Jan-Mar","PD","Sarichs",5.45,1908,"Jan-Mar","PD","Whitefd",3.17
"21",1909,"Jan-Mar","PD","Gargett",9.61,1909,"Jan-Mar","PD","Mirani",5.05,1909,"Jan-Mar","PD","Sarichs",0.33,1909,"Jan-Mar","PD","Whitefd",0.47
"22",1910,"Jan-Mar","PD","Gargett",21.24,1910,"Jan-Mar","PD","Mirani",9.6,1910,"Jan-Mar","PD","Sarichs",9,1910,"Jan-Mar","PD","Whitefd",3.44
"23",1911,"Jan-Mar","PD","Gargett",3.37,1911,"Jan-Mar","PD","Mirani",2.98,1911,"Jan-Mar","PD","Sarichs",1.13,1911,"Jan-Mar","PD","Whitefd",0.56
"24",1912,"Jan-Mar","PD","Gargett",19.06,1912,"Jan-Mar","PD","Mirani",13.82,1912,"Jan-Mar","PD","Sarichs",3.75,1912,"Jan-Mar","PD","Whitefd",2.43
"25",1913,"Jan-Mar","PD","Gargett",18.45,1913,"Jan-Mar","PD","Mirani",9.45,1913,"Jan-Mar","PD","Sarichs",10.93,1913,"Jan-Mar","PD","Whitefd",4.7
"26",1914,"Jan-Mar","PD","Gargett",3.32,1914,"Jan-Mar","PD","Mirani",1,1914,"Jan-Mar","PD","Sarichs",0,1914,"Jan-Mar","PD","Whitefd",0
"27",1915,"Jan-Mar","PD","Gargett",7.28,1915,"Jan-Mar","PD","Mirani",5.26,1915,"Jan-Mar","PD","Sarichs",0,1915,"Jan-Mar","PD","Whitefd",0
"28",1916,"Jan-Mar","PD","Gargett",21.77,1916,"Jan-Mar","PD","Mirani",8.08,1916,"Jan-Mar","PD","Sarichs",2.42,1916,"Jan-Mar","PD","Whitefd",0.99
"29",1917,"Jan-Mar","PD","Gargett",12.38,1917,"Jan-Mar","PD","Mirani",5.88,1917,"Jan-Mar","PD","Sarichs",1.54,1917,"Jan-Mar","PD","Whitefd",0.47
"30",1918,"Jan-Mar","PD","Gargett",8.55,1918,"Jan-Mar","PD","Mirani",7.09,1918,"Jan-Mar","PD","Sarichs",4.02,1918,"Jan-Mar","PD","Whitefd",2.42
"31",1919,"Jan-Mar","PD","Gargett",6.71,1919,"Jan-Mar","PD","Mirani",6.3,1919,"Jan-Mar","PD","Sarichs",2.71,1919,"Jan-Mar","PD","Whitefd",1.56
"32",1920,"Jan-Mar","PD","Gargett",11.4,1920,"Jan-Mar","PD","Mirani",6.57,1920,"Jan-Mar","PD","Sarichs",3.44,1920,"Jan-Mar","PD","Whitefd",1.4
"33",1921,"Jan-Mar","PD","Gargett",14.27,1921,"Jan-Mar","PD","Mirani",12.14,1921,"Jan-Mar","PD","Sarichs",6.87,1921,"Jan-Mar","PD","Whitefd",4.44
"34",1922,"Jan-Mar","PD","Gargett",7.47,1922,"Jan-Mar","PD","Mirani",7.56,1922,"Jan-Mar","PD","Sarichs",3.02,1922,"Jan-Mar","PD","Whitefd",2.61
"35",1923,"Jan-Mar","PD","Gargett",9.76,1923,"Jan-Mar","PD","Mirani",6.18,1923,"Jan-Mar","PD","Sarichs",0.65,1923,"Jan-Mar","PD","Whitefd",0.6
"36",1924,"Jan-Mar","PD","Gargett",8.67,1924,"Jan-Mar","PD","Mirani",6.12,1924,"Jan-Mar","PD","Sarichs",2.57,1924,"Jan-Mar","PD","Whitefd",1.21
"37",1925,"Jan-Mar","PD","Gargett",5.63,1925,"Jan-Mar","PD","Mirani",3.96,1925,"Jan-Mar","PD","Sarichs",1.75,1925,"Jan-Mar","PD","Whitefd",1.24
"38",1926,"Jan-Mar","PD","Gargett",18.96,1926,"Jan-Mar","PD","Mirani",13.02,1926,"Jan-Mar","PD","Sarichs",4.31,1926,"Jan-Mar","PD","Whitefd",1.01
"39",1927,"Jan-Mar","PD","Gargett",21.57,1927,"Jan-Mar","PD","Mirani",19.48,1927,"Jan-Mar","PD","Sarichs",5.53,1927,"Jan-Mar","PD","Whitefd",1.62
"40",1928,"Jan-Mar","PD","Gargett",15.73,1928,"Jan-Mar","PD","Mirani",9.91,1928,"Jan-Mar","PD","Sarichs",6.68,1928,"Jan-Mar","PD","Whitefd",3.76
"41",1929,"Jan-Mar","PD","Gargett",9.4,1929,"Jan-Mar","PD","Mirani",8.86,1929,"Jan-Mar","PD","Sarichs",7.8,1929,"Jan-Mar","PD","Whitefd",6.14
"42",1930,"Jan-Mar","PD","Gargett",6.54,1930,"Jan-Mar","PD","Mirani",4.18,1930,"Jan-Mar","PD","Sarichs",1.33,1930,"Jan-Mar","PD","Whitefd",1.07
"43",1931,"Jan-Mar","PD","Gargett",7.13,1931,"Jan-Mar","PD","Mirani",8.99,1931,"Jan-Mar","PD","Sarichs",5.23,1931,"Jan-Mar","PD","Whitefd",3.5
"44",1932,"Jan-Mar","PD","Gargett",8.98,1932,"Jan-Mar","PD","Mirani",7.01,1932,"Jan-Mar","PD","Sarichs",3.6,1932,"Jan-Mar","PD","Whitefd",1.95
"45",1933,"Jan-Mar","PD","Gargett",14.92,1933,"Jan-Mar","PD","Mirani",13.03,1933,"Jan-Mar","PD","Sarichs",6.87,1933,"Jan-Mar","PD","Whitefd",3.07
"46",1934,"Jan-Mar","PD","Gargett",6.4,1934,"Jan-Mar","PD","Mirani",3.1,1934,"Jan-Mar","PD","Sarichs",0,1934,"Jan-Mar","PD","Whitefd",0.06
"47",1935,"Jan-Mar","PD","Gargett",5.24,1935,"Jan-Mar","PD","Mirani",3.04,1935,"Jan-Mar","PD","Sarichs",0.22,1935,"Jan-Mar","PD","Whitefd",0.13
"48",1936,"Jan-Mar","PD","Gargett",9.49,1936,"Jan-Mar","PD","Mirani",5.58,1936,"Jan-Mar","PD","Sarichs",3.35,1936,"Jan-Mar","PD","Whitefd",2.05
"49",1937,"Jan-Mar","PD","Gargett",5.71,1937,"Jan-Mar","PD","Mirani",4.39,1937,"Jan-Mar","PD","Sarichs",1.3,1937,"Jan-Mar","PD","Whitefd",0.88
"50",1938,"Jan-Mar","PD","Gargett",13.78,1938,"Jan-Mar","PD","Mirani",7.78,1938,"Jan-Mar","PD","Sarichs",2.55,1938,"Jan-Mar","PD","Whitefd",1.08
"51",1939,"Jan-Mar","PD","Gargett",14.38,1939,"Jan-Mar","PD","Mirani",6.65,1939,"Jan-Mar","PD","Sarichs",0.72,1939,"Jan-Mar","PD","Whitefd",0.58
"52",1940,"Jan-Mar","PD","Gargett",21.92,1940,"Jan-Mar","PD","Mirani",9.7,1940,"Jan-Mar","PD","Sarichs",5.91,1940,"Jan-Mar","PD","Whitefd",4.14
"53",1941,"Jan-Mar","PD","Gargett",6.83,1941,"Jan-Mar","PD","Mirani",5.59,1941,"Jan-Mar","PD","Sarichs",4.17,1941,"Jan-Mar","PD","Whitefd",3.02
"54",1942,"Jan-Mar","PD","Gargett",14.16,1942,"Jan-Mar","PD","Mirani",12.84,1942,"Jan-Mar","PD","Sarichs",9.24,1942,"Jan-Mar","PD","Whitefd",2.35
"55",1943,"Jan-Mar","PD","Gargett",10.9,1943,"Jan-Mar","PD","Mirani",7.8,1943,"Jan-Mar","PD","Sarichs",3.31,1943,"Jan-Mar","PD","Whitefd",1.73
"56",1944,"Jan-Mar","PD","Gargett",5.03,1944,"Jan-Mar","PD","Mirani",2.33,1944,"Jan-Mar","PD","Sarichs",0.93,1944,"Jan-Mar","PD","Whitefd",0.38
"57",1945,"Jan-Mar","PD","Gargett",21.26,1945,"Jan-Mar","PD","Mirani",15.26,1945,"Jan-Mar","PD","Sarichs",4.87,1945,"Jan-Mar","PD","Whitefd",0.96
"58",1946,"Jan-Mar","PD","Gargett",12,1946,"Jan-Mar","PD","Mirani",7.2,1946,"Jan-Mar","PD","Sarichs",4.51,1946,"Jan-Mar","PD","Whitefd",1.4
"59",1947,"Jan-Mar","PD","Gargett",5.76,1947,"Jan-Mar","PD","Mirani",4.44,1947,"Jan-Mar","PD","Sarichs",2.86,1947,"Jan-Mar","PD","Whitefd",1.25
"60",1948,"Jan-Mar","PD","Gargett",11.82,1948,"Jan-Mar","PD","Mirani",7.08,1948,"Jan-Mar","PD","Sarichs",0.58,1948,"Jan-Mar","PD","Whitefd",0.4
"61",1949,"Jan-Mar","PD","Gargett",14.24,1949,"Jan-Mar","PD","Mirani",4.1,1949,"Jan-Mar","PD","Sarichs",0.46,1949,"Jan-Mar","PD","Whitefd",0.42
"62",1950,"Jan-Mar","PD","Gargett",22.91,1950,"Jan-Mar","PD","Mirani",20.83,1950,"Jan-Mar","PD","Sarichs",15.68,1950,"Jan-Mar","PD","Whitefd",5.75
"63",1951,"Jan-Mar","PD","Gargett",10.19,1951,"Jan-Mar","PD","Mirani",9.37,1951,"Jan-Mar","PD","Sarichs",4.99,1951,"Jan-Mar","PD","Whitefd",2.92
"64",1952,"Jan-Mar","PD","Gargett",21.85,1952,"Jan-Mar","PD","Mirani",10.23,1952,"Jan-Mar","PD","Sarichs",6.6,1952,"Jan-Mar","PD","Whitefd",5.09
"65",1953,"Jan-Mar","PD","Gargett",14.24,1953,"Jan-Mar","PD","Mirani",6.18,1953,"Jan-Mar","PD","Sarichs",2.03,1953,"Jan-Mar","PD","Whitefd",0.72
"66",1954,"Jan-Mar","PD","Gargett",7.55,1954,"Jan-Mar","PD","Mirani",3.63,1954,"Jan-Mar","PD","Sarichs",0.19,1954,"Jan-Mar","PD","Whitefd",0.17
"67",1955,"Jan-Mar","PD","Gargett",22.74,1955,"Jan-Mar","PD","Mirani",5.62,1955,"Jan-Mar","PD","Sarichs",0.58,1955,"Jan-Mar","PD","Whitefd",0.75
"68",1956,"Jan-Mar","PD","Gargett",18.54,1956,"Jan-Mar","PD","Mirani",12.63,1956,"Jan-Mar","PD","Sarichs",7.26,1956,"Jan-Mar","PD","Whitefd",4.58
"69",1957,"Jan-Mar","PD","Gargett",12.56,1957,"Jan-Mar","PD","Mirani",14.44,1957,"Jan-Mar","PD","Sarichs",10.12,1957,"Jan-Mar","PD","Whitefd",2.56
"70",1958,"Jan-Mar","PD","Gargett",15.8,1958,"Jan-Mar","PD","Mirani",8.65,1958,"Jan-Mar","PD","Sarichs",4.52,1958,"Jan-Mar","PD","Whitefd",3.04
"71",1959,"Jan-Mar","PD","Gargett",18.42,1959,"Jan-Mar","PD","Mirani",9.38,1959,"Jan-Mar","PD","Sarichs",5.04,1959,"Jan-Mar","PD","Whitefd",2.74
"72",1960,"Jan-Mar","PD","Gargett",13.26,1960,"Jan-Mar","PD","Mirani",9.58,1960,"Jan-Mar","PD","Sarichs",3.16,1960,"Jan-Mar","PD","Whitefd",2.5
"73",1961,"Jan-Mar","PD","Gargett",11.07,1961,"Jan-Mar","PD","Mirani",6.66,1961,"Jan-Mar","PD","Sarichs",2.1,1961,"Jan-Mar","PD","Whitefd",0.88
"74",1962,"Jan-Mar","PD","Gargett",22.13,1962,"Jan-Mar","PD","Mirani",11.4,1962,"Jan-Mar","PD","Sarichs",8.75,1962,"Jan-Mar","PD","Whitefd",3.87
"75",1963,"Jan-Mar","PD","Gargett",6.35,1963,"Jan-Mar","PD","Mirani",5.3,1963,"Jan-Mar","PD","Sarichs",0.32,1963,"Jan-Mar","PD","Whitefd",0.16
"76",1964,"Jan-Mar","PD","Gargett",6.83,1964,"Jan-Mar","PD","Mirani",5.2,1964,"Jan-Mar","PD","Sarichs",0,1964,"Jan-Mar","PD","Whitefd",0.08
"77",1965,"Jan-Mar","PD","Gargett",8.72,1965,"Jan-Mar","PD","Mirani",8.94,1965,"Jan-Mar","PD","Sarichs",4.88,1965,"Jan-Mar","PD","Whitefd",3.06
"78",1966,"Jan-Mar","PD","Gargett",7.36,1966,"Jan-Mar","PD","Mirani",6.46,1966,"Jan-Mar","PD","Sarichs",0.43,1966,"Jan-Mar","PD","Whitefd",0.28
"79",1967,"Jan-Mar","PD","Gargett",16.75,1967,"Jan-Mar","PD","Mirani",9.41,1967,"Jan-Mar","PD","Sarichs",3.99,1967,"Jan-Mar","PD","Whitefd",1.91
"80",1968,"Jan-Mar","PD","Gargett",3.43,1968,"Jan-Mar","PD","Mirani",1.82,1968,"Jan-Mar","PD","Sarichs",0.55,1968,"Jan-Mar","PD","Whitefd",0.76
"81",1969,"Jan-Mar","PD","Gargett",13.81,1969,"Jan-Mar","PD","Mirani",10.01,1969,"Jan-Mar","PD","Sarichs",10.32,1969,"Jan-Mar","PD","Whitefd",1.59
"82",1970,"Jan-Mar","PD","Gargett",7.05,1970,"Jan-Mar","PD","Mirani",5.13,1970,"Jan-Mar","PD","Sarichs",3.63,1970,"Jan-Mar","PD","Whitefd",1.4
"83",1971,"Jan-Mar","PD","Gargett",18.69,1971,"Jan-Mar","PD","Mirani",12.33,1971,"Jan-Mar","PD","Sarichs",10.66,1971,"Jan-Mar","PD","Whitefd",3.27
"84",1972,"Jan-Mar","PD","Gargett",5.54,1972,"Jan-Mar","PD","Mirani",4.65,1972,"Jan-Mar","PD","Sarichs",1.45,1972,"Jan-Mar","PD","Whitefd",0.96
"85",1973,"Jan-Mar","PD","Gargett",18.82,1973,"Jan-Mar","PD","Mirani",9.51,1973,"Jan-Mar","PD","Sarichs",0.11,1973,"Jan-Mar","PD","Whitefd",0.35
"86",1974,"Jan-Mar","PD","Gargett",20.91,1974,"Jan-Mar","PD","Mirani",11.38,1974,"Jan-Mar","PD","Sarichs",4.77,1974,"Jan-Mar","PD","Whitefd",3.97
"87",1975,"Jan-Mar","PD","Gargett",19.59,1975,"Jan-Mar","PD","Mirani",15.11,1975,"Jan-Mar","PD","Sarichs",1.33,1975,"Jan-Mar","PD","Whitefd",0.65
"88",1976,"Jan-Mar","PD","Gargett",12.13,1976,"Jan-Mar","PD","Mirani",10.2,1976,"Jan-Mar","PD","Sarichs",4.5,1976,"Jan-Mar","PD","Whitefd",2.27
"89",1977,"Jan-Mar","PD","Gargett",7.39,1977,"Jan-Mar","PD","Mirani",7.15,1977,"Jan-Mar","PD","Sarichs",6.12,1977,"Jan-Mar","PD","Whitefd",3.94
"90",1978,"Jan-Mar","PD","Gargett",6.06,1978,"Jan-Mar","PD","Mirani",4.26,1978,"Jan-Mar","PD","Sarichs",1.11,1978,"Jan-Mar","PD","Whitefd",0.26
"91",1979,"Jan-Mar","PD","Gargett",10.71,1979,"Jan-Mar","PD","Mirani",9.57,1979,"Jan-Mar","PD","Sarichs",9.21,1979,"Jan-Mar","PD","Whitefd",4.7
"92",1980,"Jan-Mar","PD","Gargett",23.73,1980,"Jan-Mar","PD","Mirani",7.79,1980,"Jan-Mar","PD","Sarichs",4.38,1980,"Jan-Mar","PD","Whitefd",1.93
"93",1981,"Jan-Mar","PD","Gargett",4.78,1981,"Jan-Mar","PD","Mirani",2.27,1981,"Jan-Mar","PD","Sarichs",1.13,1981,"Jan-Mar","PD","Whitefd",0.61
"94",1982,"Jan-Mar","PD","Gargett",2.83,1982,"Jan-Mar","PD","Mirani",1.4,1982,"Jan-Mar","PD","Sarichs",0.22,1982,"Jan-Mar","PD","Whitefd",0.04
"95",1983,"Jan-Mar","PD","Gargett",7.81,1983,"Jan-Mar","PD","Mirani",5.76,1983,"Jan-Mar","PD","Sarichs",1.94,1983,"Jan-Mar","PD","Whitefd",0.55
"96",1984,"Jan-Mar","PD","Gargett",5.14,1984,"Jan-Mar","PD","Mirani",3.02,1984,"Jan-Mar","PD","Sarichs",1.22,1984,"Jan-Mar","PD","Whitefd",0.64
"97",1985,"Jan-Mar","PD","Gargett",8.9,1985,"Jan-Mar","PD","Mirani",8.17,1985,"Jan-Mar","PD","Sarichs",3.59,1985,"Jan-Mar","PD","Whitefd",2.12
"98",1986,"Jan-Mar","PD","Gargett",3.93,1986,"Jan-Mar","PD","Mirani",1.06,1986,"Jan-Mar","PD","Sarichs",0,1986,"Jan-Mar","PD","Whitefd",0.14
"99",1987,"Jan-Mar","PD","Gargett",6.47,1987,"Jan-Mar","PD","Mirani",3.52,1987,"Jan-Mar","PD","Sarichs",1.6,1987,"Jan-Mar","PD","Whitefd",0.87
"100",1988,"Jan-Mar","PD","Gargett",10.47,1988,"Jan-Mar","PD","Mirani",7.24,1988,"Jan-Mar","PD","Sarichs",4.27,1988,"Jan-Mar","PD","Whitefd",1.22
"101",1989,"Jan-Mar","PD","Gargett",4.16,1989,"Jan-Mar","PD","Mirani",1.84,1989,"Jan-Mar","PD","Sarichs",0.02,1989,"Jan-Mar","PD","Whitefd",0.68
"102",1990,"Jan-Mar","PD","Gargett",12.9,1990,"Jan-Mar","PD","Mirani",12.68,1990,"Jan-Mar","PD","Sarichs",9.73,1990,"Jan-Mar","PD","Whitefd",3.04
"103",1991,"Jan-Mar","PD","Gargett",0.22,1991,"Jan-Mar","PD","Mirani",0.91,1991,"Jan-Mar","PD","Sarichs",0.54,1991,"Jan-Mar","PD","Whitefd",0.37
"104",1992,"Jan-Mar","PD","Gargett",5.79,1992,"Jan-Mar","PD","Mirani",5.65,1992,"Jan-Mar","PD","Sarichs",1.49,1992,"Jan-Mar","PD","Whitefd",0.62
"105",1993,"Jan-Mar","PD","Gargett",9.95,1993,"Jan-Mar","PD","Mirani",4.61,1993,"Jan-Mar","PD","Sarichs",1.53,1993,"Jan-Mar","PD","Whitefd",0.81
"106",1994,"Jan-Mar","PD","Gargett",5.19,1994,"Jan-Mar","PD","Mirani",4.04,1994,"Jan-Mar","PD","Sarichs",1.76,1994,"Jan-Mar","PD","Whitefd",1.09
"107",1995,"Jan-Mar","PD","Gargett",6.18,1995,"Jan-Mar","PD","Mirani",5.54,1995,"Jan-Mar","PD","Sarichs",1.24,1995,"Jan-Mar","PD","Whitefd",0.94
"108",1996,"Jan-Mar","PD","Gargett",7.22,1996,"Jan-Mar","PD","Mirani",3.79,1996,"Jan-Mar","PD","Sarichs",0.43,1996,"Jan-Mar","PD","Whitefd",0.42
"109",1997,"Jan-Mar","PD","Gargett",10.44,1997,"Jan-Mar","PD","Mirani",8.64,1997,"Jan-Mar","PD","Sarichs",3.85,1997,"Jan-Mar","PD","Whitefd",3.06
"110",1998,"Jan-Mar","PD","Gargett",33.01,1998,"Jan-Mar","PD","Mirani",10.62,1998,"Jan-Mar","PD","Sarichs",3.29,1998,"Jan-Mar","PD","Whitefd",2.54
"111",1999,"Jan-Mar","PD","Gargett",14.76,1999,"Jan-Mar","PD","Mirani",14.3,1999,"Jan-Mar","PD","Sarichs",2.4,1999,"Jan-Mar","PD","Whitefd",0.99
"112",2000,"Jan-Mar","PD","Gargett",15.32,2000,"Jan-Mar","PD","Mirani",13.01,2000,"Jan-Mar","PD","Sarichs",8.87,2000,"Jan-Mar","PD","Whitefd",1.49
"113",2001,"Jan-Mar","PD","Gargett",6.23,2001,"Jan-Mar","PD","Mirani",6.89,2001,"Jan-Mar","PD","Sarichs",1.72,2001,"Jan-Mar","PD","Whitefd",0.52
"114",2002,"Jan-Mar","PD","Gargett",5.7,2002,"Jan-Mar","PD","Mirani",2.7,2002,"Jan-Mar","PD","Sarichs",0.83,2002,"Jan-Mar","PD","Whitefd",0.67
"115",2003,"Jan-Mar","PD","Gargett",7.61,2003,"Jan-Mar","PD","Mirani",7.09,2003,"Jan-Mar","PD","Sarichs",1.43,2003,"Jan-Mar","PD","Whitefd",0.73
"116",2004,"Jan-Mar","PD","Gargett",5.6,2004,"Jan-Mar","PD","Mirani",6.34,2004,"Jan-Mar","PD","Sarichs",1.74,2004,"Jan-Mar","PD","Whitefd",1.7
"117",2005,"Jan-Mar","PD","Gargett",6.52,2005,"Jan-Mar","PD","Mirani",3.67,2005,"Jan-Mar","PD","Sarichs",0.02,2005,"Jan-Mar","PD","Whitefd",0.02
"118",2006,"Jan-Mar","PD","Gargett",16.95,2006,"Jan-Mar","PD","Mirani",11.63,2006,"Jan-Mar","PD","Sarichs",5.87,2006,"Jan-Mar","PD","Whitefd",1.4
"119",2007,"Jan-Mar","PD","Gargett",17.12,2007,"Jan-Mar","PD","Mirani",13.19,2007,"Jan-Mar","PD","Sarichs",9.53,2007,"Jan-Mar","PD","Whitefd",2.82
"120",2008,"Jan-Mar","PD","Gargett",19.93,2008,"Jan-Mar","PD","Mirani",7.86,2008,"Jan-Mar","PD","Sarichs",6.4,2008,"Jan-Mar","PD","Whitefd",2.25
"121",2009,"Jan-Mar","PD","Gargett",13.51,2009,"Jan-Mar","PD","Mirani",6.54,2009,"Jan-Mar","PD","Sarichs",1.42,2009,"Jan-Mar","PD","Whitefd",0.39
"122",2010,"Jan-Mar","PD","Gargett",19.92,2010,"Jan-Mar","PD","Mirani",12.88,2010,"Jan-Mar","PD","Sarichs",2.37,2010,"Jan-Mar","PD","Whitefd",0.86
"123",2011,"Jan-Mar","PD","Gargett",11.17,2011,"Jan-Mar","PD","Mirani",7.99,2011,"Jan-Mar","PD","Sarichs",3.58,2011,"Jan-Mar","PD","Whitefd",1.17
"124",2012,"Jan-Mar","PD","Gargett",7.91,2012,"Jan-Mar","PD","Mirani",8,2012,"Jan-Mar","PD","Sarichs",8.91,2012,"Jan-Mar","PD","Whitefd",1.6
"125",2013,"Jan-Mar","PD","Gargett",16.34,2013,"Jan-Mar","PD","Mirani",8.41,2013,"Jan-Mar","PD","Sarichs",2.59,2013,"Jan-Mar","PD","Whitefd",1.59
"126",2014,"Jan-Mar","PD","Gargett",7.83,2014,"Jan-Mar","PD","Mirani",8.06,2014,"Jan-Mar","PD","Sarichs",5.16,2014,"Jan-Mar","PD","Whitefd",1.98
"127",2015,"Jan-Mar","PD","Gargett",6.05,2015,"Jan-Mar","PD","Mirani",3.34,2015,"Jan-Mar","PD","Sarichs",1.55,2015,"Jan-Mar","PD","Whitefd",0.86
"128",2016,"Jan-Mar","PD","Gargett",13.91,2016,"Jan-Mar","PD","Mirani",10.24,2016,"Jan-Mar","PD","Sarichs",4.74,2016,"Jan-Mar","PD","Whitefd",2.08
"129",2017,"Jan-Mar","PD","Gargett",8.67,2017,"Jan-Mar","PD","Mirani",6.21,2017,"Jan-Mar","PD","Sarichs",2.29,2017,"Jan-Mar","PD","Whitefd",0.33
"130",2018,"Jan-Mar","PD","Gargett",13.26,2018,"Jan-Mar","PD","Mirani",8.9,2018,"Jan-Mar","PD","Sarichs",8.75,2018,"Jan-Mar","PD","Whitefd",6.66
"131",1889,"Apr-Jun","PD","Gargett",20.79,1889,"Apr-Jun","PD","Mirani",22.65,1889,"Apr-Jun","PD","Sarichs",29.44,1889,"Apr-Jun","PD","Whitefd",13.29
"132",1890,"Apr-Jun","PD","Gargett",22.23,1890,"Apr-Jun","PD","Mirani",15.83,1890,"Apr-Jun","PD","Sarichs",24.6,1890,"Apr-Jun","PD","Whitefd",10.59
"133",1891,"Apr-Jun","PD","Gargett",8.95,1891,"Apr-Jun","PD","Mirani",8.64,1891,"Apr-Jun","PD","Sarichs",0.99,1891,"Apr-Jun","PD","Whitefd",1.2
"134",1892,"Apr-Jun","PD","Gargett",10.52,1892,"Apr-Jun","PD","Mirani",12.42,1892,"Apr-Jun","PD","Sarichs",5.95,1892,"Apr-Jun","PD","Whitefd",4.16
