"","ï..Year","Season","Scenario","Site","Habitat"
"37",1925,"Jan-Mar","PD","Gargett",5.63
"38",1926,"Jan-Mar","PD","Gargett",18.96
"39",1927,"Jan-Mar","PD","Gargett",21.57
"40",1928,"Jan-Mar","PD","Gargett",15.73
"41",1929,"Jan-Mar","PD","Gargett",9.4
"42",1930,"Jan-Mar","PD","Gargett",6.54
"43",1931,"Jan-Mar","PD","Gargett",7.13
"44",1932,"Jan-Mar","PD","Gargett",8.98
"45",1933,"Jan-Mar","PD","Gargett",14.92
"46",1934,"Jan-Mar","PD","Gargett",6.4
"47",1935,"Jan-Mar","PD","Gargett",5.24
"48",1936,"Jan-Mar","PD","Gargett",9.49
"49",1937,"Jan-Mar","PD","Gargett",5.71
"50",1938,"Jan-Mar","PD","Gargett",13.78
"51",1939,"Jan-Mar","PD","Gargett",14.38
"52",1940,"Jan-Mar","PD","Gargett",21.92
"53",1941,"Jan-Mar","PD","Gargett",6.83
"54",1942,"Jan-Mar","PD","Gargett",14.16
"55",1943,"Jan-Mar","PD","Gargett",10.9
"56",1944,"Jan-Mar","PD","Gargett",5.03
"57",1945,"Jan-Mar","PD","Gargett",21.26
"58",1946,"Jan-Mar","PD","Gargett",12
"59",1947,"Jan-Mar","PD","Gargett",5.76
"60",1948,"Jan-Mar","PD","Gargett",11.82
"61",1949,"Jan-Mar","PD","Gargett",14.24
"62",1950,"Jan-Mar","PD","Gargett",22.91
"63",1951,"Jan-Mar","PD","Gargett",10.19
"64",1952,"Jan-Mar","PD","Gargett",21.85
"65",1953,"Jan-Mar","PD","Gargett",14.24
"66",1954,"Jan-Mar","PD","Gargett",7.55
"67",1955,"Jan-Mar","PD","Gargett",22.74
"68",1956,"Jan-Mar","PD","Gargett",18.54
"69",1957,"Jan-Mar","PD","Gargett",12.56
"70",1958,"Jan-Mar","PD","Gargett",15.8
"71",1959,"Jan-Mar","PD","Gargett",18.42
"72",1960,"Jan-Mar","PD","Gargett",13.26
"73",1961,"Jan-Mar","PD","Gargett",11.07
"74",1962,"Jan-Mar","PD","Gargett",22.13
"75",1963,"Jan-Mar","PD","Gargett",6.35
"76",1964,"Jan-Mar","PD","Gargett",6.83
"77",1965,"Jan-Mar","PD","Gargett",8.72
"78",1966,"Jan-Mar","PD","Gargett",7.36
"79",1967,"Jan-Mar","PD","Gargett",16.75
"80",1968,"Jan-Mar","PD","Gargett",3.43
"81",1969,"Jan-Mar","PD","Gargett",13.81
"82",1970,"Jan-Mar","PD","Gargett",7.05
"83",1971,"Jan-Mar","PD","Gargett",18.69
"84",1972,"Jan-Mar","PD","Gargett",5.54
"85",1973,"Jan-Mar","PD","Gargett",18.82
"86",1974,"Jan-Mar","PD","Gargett",20.91
"87",1975,"Jan-Mar","PD","Gargett",19.59
"88",1976,"Jan-Mar","PD","Gargett",12.13
"89",1977,"Jan-Mar","PD","Gargett",7.39
"90",1978,"Jan-Mar","PD","Gargett",6.06
"91",1979,"Jan-Mar","PD","Gargett",10.71
"92",1980,"Jan-Mar","PD","Gargett",23.73
"93",1981,"Jan-Mar","PD","Gargett",4.78
"94",1982,"Jan-Mar","PD","Gargett",2.83
"95",1983,"Jan-Mar","PD","Gargett",7.81
"96",1984,"Jan-Mar","PD","Gargett",5.14
"97",1985,"Jan-Mar","PD","Gargett",8.9
"98",1986,"Jan-Mar","PD","Gargett",3.93
"99",1987,"Jan-Mar","PD","Gargett",6.47
"100",1988,"Jan-Mar","PD","Gargett",10.47
"101",1989,"Jan-Mar","PD","Gargett",4.16
"102",1990,"Jan-Mar","PD","Gargett",12.9
"103",1991,"Jan-Mar","PD","Gargett",0.22
"104",1992,"Jan-Mar","PD","Gargett",5.79
"105",1993,"Jan-Mar","PD","Gargett",9.95
"106",1994,"Jan-Mar","PD","Gargett",5.19
"107",1995,"Jan-Mar","PD","Gargett",6.18
"108",1996,"Jan-Mar","PD","Gargett",7.22
"109",1997,"Jan-Mar","PD","Gargett",10.44
"110",1998,"Jan-Mar","PD","Gargett",33.01
"111",1999,"Jan-Mar","PD","Gargett",14.76
"112",2000,"Jan-Mar","PD","Gargett",15.32
"113",2001,"Jan-Mar","PD","Gargett",6.23
"114",2002,"Jan-Mar","PD","Gargett",5.7
"115",2003,"Jan-Mar","PD","Gargett",7.61
"116",2004,"Jan-Mar","PD","Gargett",5.6
"117",2005,"Jan-Mar","PD","Gargett",6.52
"118",2006,"Jan-Mar","PD","Gargett",16.95
"119",2007,"Jan-Mar","PD","Gargett",17.12
"120",2008,"Jan-Mar","PD","Gargett",19.93
"121",2009,"Jan-Mar","PD","Gargett",13.51
"122",2010,"Jan-Mar","PD","Gargett",19.92
"123",2011,"Jan-Mar","PD","Gargett",11.17
"124",2012,"Jan-Mar","PD","Gargett",7.91
"125",2013,"Jan-Mar","PD","Gargett",16.34
"126",2014,"Jan-Mar","PD","Gargett",7.83
"127",2015,"Jan-Mar","PD","Gargett",6.05
"128",2016,"Jan-Mar","PD","Gargett",13.91
"129",2017,"Jan-Mar","PD","Gargett",8.67
"130",2018,"Jan-Mar","PD","Gargett",13.26
"131",1889,"Apr-Jun","PD","Gargett",20.79
"132",1890,"Apr-Jun","PD","Gargett",22.23
"133",1891,"Apr-Jun","PD","Gargett",8.95
"134",1892,"Apr-Jun","PD","Gargett",10.52
"135",1893,"Apr-Jun","PD","Gargett",23.59
"136",1894,"Apr-Jun","PD","Gargett",11.31
"137",1895,"Apr-Jun","PD","Gargett",15.5
"138",1896,"Apr-Jun","PD","Gargett",10.09
"139",1897,"Apr-Jun","PD","Gargett",18.2
"140",1898,"Apr-Jun","PD","Gargett",17.37
"141",1899,"Apr-Jun","PD","Gargett",8.65
"142",1900,"Apr-Jun","PD","Gargett",12.01
"143",1901,"Apr-Jun","PD","Gargett",5.71
"144",1902,"Apr-Jun","PD","Gargett",16.24
"145",1903,"Apr-Jun","PD","Gargett",10.86
"146",1904,"Apr-Jun","PD","Gargett",10.51
"147",1905,"Apr-Jun","PD","Gargett",16.64
"148",1906,"Apr-Jun","PD","Gargett",9.82
"149",1907,"Apr-Jun","PD","Gargett",18.49
"150",1908,"Apr-Jun","PD","Gargett",10.82
"151",1909,"Apr-Jun","PD","Gargett",20.14
"152",1910,"Apr-Jun","PD","Gargett",16.54
"153",1911,"Apr-Jun","PD","Gargett",9.15
"154",1912,"Apr-Jun","PD","Gargett",22.43
"155",1913,"Apr-Jun","PD","Gargett",14.81
"156",1914,"Apr-Jun","PD","Gargett",0
"157",1915,"Apr-Jun","PD","Gargett",8.66
"158",1916,"Apr-Jun","PD","Gargett",12.4
"159",1917,"Apr-Jun","PD","Gargett",15.63
"160",1918,"Apr-Jun","PD","Gargett",16.89
"161",1919,"Apr-Jun","PD","Gargett",17.49
"162",1920,"Apr-Jun","PD","Gargett",15.81
"163",1921,"Apr-Jun","PD","Gargett",10.86
"164",1922,"Apr-Jun","PD","Gargett",8.54
"165",1923,"Apr-Jun","PD","Gargett",11.72
"166",1924,"Apr-Jun","PD","Gargett",17.36
"167",1925,"Apr-Jun","PD","Gargett",8.69
"168",1926,"Apr-Jun","PD","Gargett",15.02
"169",1927,"Apr-Jun","PD","Gargett",20.96
"170",1928,"Apr-Jun","PD","Gargett",18.81
"171",1929,"Apr-Jun","PD","Gargett",10.59
"172",1930,"Apr-Jun","PD","Gargett",10.76
"173",1931,"Apr-Jun","PD","Gargett",10.98
"174",1932,"Apr-Jun","PD","Gargett",9.72
"175",1933,"Apr-Jun","PD","Gargett",12.75
"176",1934,"Apr-Jun","PD","Gargett",9.06
"177",1935,"Apr-Jun","PD","Gargett",18.2
"178",1936,"Apr-Jun","PD","Gargett",11.14
"179",1937,"Apr-Jun","PD","Gargett",9.59
"180",1938,"Apr-Jun","PD","Gargett",20.18
"181",1939,"Apr-Jun","PD","Gargett",15.21
"182",1940,"Apr-Jun","PD","Gargett",24.37
"183",1941,"Apr-Jun","PD","Gargett",11.67
"184",1942,"Apr-Jun","PD","Gargett",11.65
"185",1943,"Apr-Jun","PD","Gargett",17.26
"186",1944,"Apr-Jun","PD","Gargett",14.61
"187",1945,"Apr-Jun","PD","Gargett",16.37
"188",1946,"Apr-Jun","PD","Gargett",13.08
"189",1947,"Apr-Jun","PD","Gargett",8.19
"190",1948,"Apr-Jun","PD","Gargett",20.74
"191",1949,"Apr-Jun","PD","Gargett",25.32
"192",1950,"Apr-Jun","PD","Gargett",10.93
"193",1951,"Apr-Jun","PD","Gargett",9.92
"194",1952,"Apr-Jun","PD","Gargett",13.57
"195",1953,"Apr-Jun","PD","Gargett",23.19
"196",1954,"Apr-Jun","PD","Gargett",25.35
"197",1955,"Apr-Jun","PD","Gargett",24.42
"198",1956,"Apr-Jun","PD","Gargett",9.98
"199",1957,"Apr-Jun","PD","Gargett",19.5
"200",1958,"Apr-Jun","PD","Gargett",15.01
"201",1959,"Apr-Jun","PD","Gargett",12.72
"202",1960,"Apr-Jun","PD","Gargett",11.04
"203",1961,"Apr-Jun","PD","Gargett",14.25
"204",1962,"Apr-Jun","PD","Gargett",20.61
"205",1963,"Apr-Jun","PD","Gargett",11.72
"206",1964,"Apr-Jun","PD","Gargett",9.52
"207",1965,"Apr-Jun","PD","Gargett",8.43
"208",1966,"Apr-Jun","PD","Gargett",11.87
"209",1967,"Apr-Jun","PD","Gargett",13.98
"210",1968,"Apr-Jun","PD","Gargett",10.53
"211",1969,"Apr-Jun","PD","Gargett",13.3
"212",1970,"Apr-Jun","PD","Gargett",13.78
"213",1971,"Apr-Jun","PD","Gargett",11.6
"214",1972,"Apr-Jun","PD","Gargett",10.83
"215",1973,"Apr-Jun","PD","Gargett",23.04
"216",1974,"Apr-Jun","PD","Gargett",15.04
"217",1975,"Apr-Jun","PD","Gargett",19.03
"218",1976,"Apr-Jun","PD","Gargett",25.58
"219",1977,"Apr-Jun","PD","Gargett",10.03
"220",1978,"Apr-Jun","PD","Gargett",21.61
"221",1979,"Apr-Jun","PD","Gargett",15.27
"222",1980,"Apr-Jun","PD","Gargett",17.69
"223",1981,"Apr-Jun","PD","Gargett",9.78
"224",1982,"Apr-Jun","PD","Gargett",8.31
"225",1983,"Apr-Jun","PD","Gargett",8.72
"226",1984,"Apr-Jun","PD","Gargett",18.62
"227",1985,"Apr-Jun","PD","Gargett",11.29
"228",1986,"Apr-Jun","PD","Gargett",7.78
"229",1987,"Apr-Jun","PD","Gargett",12.25
"230",1988,"Apr-Jun","PD","Gargett",29.08
"231",1989,"Apr-Jun","PD","Gargett",20.33
"232",1990,"Apr-Jun","PD","Gargett",11.77
"233",1991,"Apr-Jun","PD","Gargett",4.04
"234",1992,"Apr-Jun","PD","Gargett",7.88
"235",1993,"Apr-Jun","PD","Gargett",11.28
"236",1994,"Apr-Jun","PD","Gargett",8.9
"237",1995,"Apr-Jun","PD","Gargett",8.44
"238",1996,"Apr-Jun","PD","Gargett",13.43
"239",1997,"Apr-Jun","PD","Gargett",10.6
"240",1998,"Apr-Jun","PD","Gargett",22.99
"241",1999,"Apr-Jun","PD","Gargett",27.62
"242",2000,"Apr-Jun","PD","Gargett",14.07
"243",2001,"Apr-Jun","PD","Gargett",7.61
"244",2002,"Apr-Jun","PD","Gargett",7.61
"245",2003,"Apr-Jun","PD","Gargett",8.48
"246",2004,"Apr-Jun","PD","Gargett",9.13
"247",2005,"Apr-Jun","PD","Gargett",11.92
"248",2006,"Apr-Jun","PD","Gargett",17.62
"249",2007,"Apr-Jun","PD","Gargett",12.42
"250",2008,"Apr-Jun","PD","Gargett",14.82
"251",2009,"Apr-Jun","PD","Gargett",21.26
"252",2010,"Apr-Jun","PD","Gargett",20.28
"253",2011,"Apr-Jun","PD","Gargett",16.5
"254",2012,"Apr-Jun","PD","Gargett",23.63
"255",2013,"Apr-Jun","PD","Gargett",16.81
"256",2014,"Apr-Jun","PD","Gargett",8.23
"257",2015,"Apr-Jun","PD","Gargett",9.68
"258",2016,"Apr-Jun","PD","Gargett",15.82
"259",2017,"Apr-Jun","PD","Gargett",14.4
"260",2018,"Apr-Jun","PD","Gargett",16.67
"261",1889,"Jul-Sep","PD","Gargett",9.74
"262",1890,"Jul-Sep","PD","Gargett",9.8
"263",1891,"Jul-Sep","PD","Gargett",12.15
"264",1892,"Jul-Sep","PD","Gargett",7.53
"265",1893,"Jul-Sep","PD","Gargett",9.61
"266",1894,"Jul-Sep","PD","Gargett",15.92
"267",1895,"Jul-Sep","PD","Gargett",7.2
"268",1896,"Jul-Sep","PD","Gargett",8.12
"269",1897,"Jul-Sep","PD","Gargett",5.01
"270",1898,"Jul-Sep","PD","Gargett",9
"271",1899,"Jul-Sep","PD","Gargett",8.7
"272",1900,"Jul-Sep","PD","Gargett",6.91
"273",1901,"Jul-Sep","PD","Gargett",7.57
"274",1902,"Jul-Sep","PD","Gargett",0.24
"275",1903,"Jul-Sep","PD","Gargett",9.51
"276",1904,"Jul-Sep","PD","Gargett",6.56
"277",1905,"Jul-Sep","PD","Gargett",6.49
"278",1906,"Jul-Sep","PD","Gargett",9.82
"279",1907,"Jul-Sep","PD","Gargett",9.36
"280",1908,"Jul-Sep","PD","Gargett",8.96
"281",1909,"Jul-Sep","PD","Gargett",6.56
"282",1910,"Jul-Sep","PD","Gargett",9.27
"283",1911,"Jul-Sep","PD","Gargett",8.72
"284",1912,"Jul-Sep","PD","Gargett",14.78
"285",1913,"Jul-Sep","PD","Gargett",11.48
"286",1914,"Jul-Sep","PD","Gargett",11.38
"287",1915,"Jul-Sep","PD","Gargett",0
"288",1916,"Jul-Sep","PD","Gargett",8.51
"289",1917,"Jul-Sep","PD","Gargett",10.27
"290",1918,"Jul-Sep","PD","Gargett",8.82
"291",1919,"Jul-Sep","PD","Gargett",11.11
"292",1920,"Jul-Sep","PD","Gargett",13.19
"293",1921,"Jul-Sep","PD","Gargett",13.97
"294",1922,"Jul-Sep","PD","Gargett",8.88
"295",1923,"Jul-Sep","PD","Gargett",7.82
"296",1924,"Jul-Sep","PD","Gargett",11.36
"297",1925,"Jul-Sep","PD","Gargett",10.21
"298",1926,"Jul-Sep","PD","Gargett",5.94
"299",1927,"Jul-Sep","PD","Gargett",9.84
"300",1928,"Jul-Sep","PD","Gargett",9.32
"301",1929,"Jul-Sep","PD","Gargett",9.64
"302",1930,"Jul-Sep","PD","Gargett",14.12
"303",1931,"Jul-Sep","PD","Gargett",8.05
"304",1932,"Jul-Sep","PD","Gargett",8.83
"305",1933,"Jul-Sep","PD","Gargett",10.59
"306",1934,"Jul-Sep","PD","Gargett",10.64
"307",1935,"Jul-Sep","PD","Gargett",6.75
"308",1936,"Jul-Sep","PD","Gargett",15.46
"309",1937,"Jul-Sep","PD","Gargett",9.56
"310",1938,"Jul-Sep","PD","Gargett",9.93
"311",1939,"Jul-Sep","PD","Gargett",10.2
"312",1940,"Jul-Sep","PD","Gargett",9.54
"313",1941,"Jul-Sep","PD","Gargett",12.66
"314",1942,"Jul-Sep","PD","Gargett",19.32
"315",1943,"Jul-Sep","PD","Gargett",9.64
"316",1944,"Jul-Sep","PD","Gargett",10.06
"317",1945,"Jul-Sep","PD","Gargett",11.04
"318",1946,"Jul-Sep","PD","Gargett",7.96
"319",1947,"Jul-Sep","PD","Gargett",9.43
"320",1948,"Jul-Sep","PD","Gargett",8.58
"321",1949,"Jul-Sep","PD","Gargett",9.14
"322",1950,"Jul-Sep","PD","Gargett",27.41
"323",1951,"Jul-Sep","PD","Gargett",6.56
"324",1952,"Jul-Sep","PD","Gargett",9.13
"325",1953,"Jul-Sep","PD","Gargett",7.51
"326",1954,"Jul-Sep","PD","Gargett",9.79
"327",1955,"Jul-Sep","PD","Gargett",12.18
"328",1956,"Jul-Sep","PD","Gargett",11.1
"329",1957,"Jul-Sep","PD","Gargett",8.65
"330",1958,"Jul-Sep","PD","Gargett",10.89
"331",1959,"Jul-Sep","PD","Gargett",9.27
"332",1960,"Jul-Sep","PD","Gargett",7.44
"333",1961,"Jul-Sep","PD","Gargett",8.89
"334",1962,"Jul-Sep","PD","Gargett",7.78
"335",1963,"Jul-Sep","PD","Gargett",10.49
"336",1964,"Jul-Sep","PD","Gargett",9.77
"337",1965,"Jul-Sep","PD","Gargett",7.14
"338",1966,"Jul-Sep","PD","Gargett",6.14
"339",1967,"Jul-Sep","PD","Gargett",13.79
"340",1968,"Jul-Sep","PD","Gargett",8.45
"341",1969,"Jul-Sep","PD","Gargett",9.59
"342",1970,"Jul-Sep","PD","Gargett",8.86
"343",1971,"Jul-Sep","PD","Gargett",8.83
"344",1972,"Jul-Sep","PD","Gargett",10
"345",1973,"Jul-Sep","PD","Gargett",10.27
"346",1974,"Jul-Sep","PD","Gargett",10.54
"347",1975,"Jul-Sep","PD","Gargett",10.15
"348",1976,"Jul-Sep","PD","Gargett",9.65
"349",1977,"Jul-Sep","PD","Gargett",10.4
"350",1978,"Jul-Sep","PD","Gargett",8.56
"351",1979,"Jul-Sep","PD","Gargett",9.43
"352",1980,"Jul-Sep","PD","Gargett",10.08
"353",1981,"Jul-Sep","PD","Gargett",9.48
"354",1982,"Jul-Sep","PD","Gargett",7.6
"355",1983,"Jul-Sep","PD","Gargett",10.21
"356",1984,"Jul-Sep","PD","Gargett",7.5
"357",1985,"Jul-Sep","PD","Gargett",10.42
"358",1986,"Jul-Sep","PD","Gargett",9.8
"359",1987,"Jul-Sep","PD","Gargett",9.98
"360",1988,"Jul-Sep","PD","Gargett",11.34
"361",1989,"Jul-Sep","PD","Gargett",12.47
"362",1990,"Jul-Sep","PD","Gargett",11.04
"363",1991,"Jul-Sep","PD","Gargett",8.19
"364",1992,"Jul-Sep","PD","Gargett",1.9
"365",1993,"Jul-Sep","PD","Gargett",8.74
"366",1994,"Jul-Sep","PD","Gargett",8.28
"367",1995,"Jul-Sep","PD","Gargett",8.21
"368",1996,"Jul-Sep","PD","Gargett",7.47
"369",1997,"Jul-Sep","PD","Gargett",9.9
"370",1998,"Jul-Sep","PD","Gargett",14.43
"371",1999,"Jul-Sep","PD","Gargett",10.22
"372",2000,"Jul-Sep","PD","Gargett",11.67
"373",2001,"Jul-Sep","PD","Gargett",8.88
"374",2002,"Jul-Sep","PD","Gargett",8.82
"375",2003,"Jul-Sep","PD","Gargett",7.43
"376",2004,"Jul-Sep","PD","Gargett",4.07
"377",2005,"Jul-Sep","PD","Gargett",9.2
"378",2006,"Jul-Sep","PD","Gargett",9.99
"379",2007,"Jul-Sep","PD","Gargett",12.52
"380",2008,"Jul-Sep","PD","Gargett",8.75
"381",2009,"Jul-Sep","PD","Gargett",8.97
"382",2010,"Jul-Sep","PD","Gargett",10.1
"383",2011,"Jul-Sep","PD","Gargett",10.98
"384",2012,"Jul-Sep","PD","Gargett",14.85
"385",2013,"Jul-Sep","PD","Gargett",11.13
"386",2014,"Jul-Sep","PD","Gargett",10.23
"387",2015,"Jul-Sep","PD","Gargett",9.87
"388",2016,"Jul-Sep","PD","Gargett",10.69
"389",2017,"Jul-Sep","PD","Gargett",9.99
"390",2018,"Jul-Sep","PD","Gargett",8.96
"391",1889,"Oct-Dec","PD","Gargett",8.26
"392",1890,"Oct-Dec","PD","Gargett",10.8
"393",1891,"Oct-Dec","PD","Gargett",8.33
"394",1892,"Oct-Dec","PD","Gargett",4.43
"395",1893,"Oct-Dec","PD","Gargett",9.31
"396",1894,"Oct-Dec","PD","Gargett",8.04
"397",1895,"Oct-Dec","PD","Gargett",0.51
"398",1896,"Oct-Dec","PD","Gargett",1.48
"399",1897,"Oct-Dec","PD","Gargett",0.72
"400",1898,"Oct-Dec","PD","Gargett",2.83
"401",1899,"Oct-Dec","PD","Gargett",4.9
"402",1900,"Oct-Dec","PD","Gargett",0.9
"403",1901,"Oct-Dec","PD","Gargett",4.8
"404",1902,"Oct-Dec","PD","Gargett",1.13
"405",1903,"Oct-Dec","PD","Gargett",6.1
"406",1904,"Oct-Dec","PD","Gargett",1.19
"407",1905,"Oct-Dec","PD","Gargett",2.75
"408",1906,"Oct-Dec","PD","Gargett",8.12
"409",1907,"Oct-Dec","PD","Gargett",4.84
"410",1908,"Oct-Dec","PD","Gargett",2.52
"411",1909,"Oct-Dec","PD","Gargett",1.38
"412",1910,"Oct-Dec","PD","Gargett",5.9
"413",1911,"Oct-Dec","PD","Gargett",1.68
"414",1912,"Oct-Dec","PD","Gargett",7.62
"415",1913,"Oct-Dec","PD","Gargett",5.96
"416",1914,"Oct-Dec","PD","Gargett",7.65
"417",1915,"Oct-Dec","PD","Gargett",1.61
"418",1916,"Oct-Dec","PD","Gargett",8.96
"419",1917,"Oct-Dec","PD","Gargett",7.51
"420",1918,"Oct-Dec","PD","Gargett",4.98
"421",1919,"Oct-Dec","PD","Gargett",7.96
"422",1920,"Oct-Dec","PD","Gargett",9.13
"423",1921,"Oct-Dec","PD","Gargett",13.17
"424",1922,"Oct-Dec","PD","Gargett",4.49
"425",1923,"Oct-Dec","PD","Gargett",1.75
"426",1924,"Oct-Dec","PD","Gargett",10.73
"427",1925,"Oct-Dec","PD","Gargett",7.5
"428",1926,"Oct-Dec","PD","Gargett",7.4
"429",1927,"Oct-Dec","PD","Gargett",6.86
"430",1928,"Oct-Dec","PD","Gargett",5.28
"431",1929,"Oct-Dec","PD","Gargett",4.63
"432",1930,"Oct-Dec","PD","Gargett",8.67
"433",1931,"Oct-Dec","PD","Gargett",3.87
"434",1932,"Oct-Dec","PD","Gargett",3.68
"435",1933,"Oct-Dec","PD","Gargett",14.24
"436",1934,"Oct-Dec","PD","Gargett",7.59
"437",1935,"Oct-Dec","PD","Gargett",2.13
"438",1936,"Oct-Dec","PD","Gargett",7.12
"439",1937,"Oct-Dec","PD","Gargett",3.41
"440",1938,"Oct-Dec","PD","Gargett",5.18
"441",1939,"Oct-Dec","PD","Gargett",5.78
"442",1940,"Oct-Dec","PD","Gargett",9.22
"443",1941,"Oct-Dec","PD","Gargett",7.09
"444",1942,"Oct-Dec","PD","Gargett",8.55
"445",1943,"Oct-Dec","PD","Gargett",6.44
"446",1944,"Oct-Dec","PD","Gargett",4.74
"447",1945,"Oct-Dec","PD","Gargett",6.65
"448",1946,"Oct-Dec","PD","Gargett",3.06
"449",1947,"Oct-Dec","PD","Gargett",4.82
"450",1948,"Oct-Dec","PD","Gargett",3.04
"451",1949,"Oct-Dec","PD","Gargett",3.88
"452",1950,"Oct-Dec","PD","Gargett",21.13
"453",1951,"Oct-Dec","PD","Gargett",2.15
"454",1952,"Oct-Dec","PD","Gargett",2.56
"455",1953,"Oct-Dec","PD","Gargett",1.2
"456",1954,"Oct-Dec","PD","Gargett",7.72
"457",1955,"Oct-Dec","PD","Gargett",7.52
"458",1956,"Oct-Dec","PD","Gargett",7.25
"459",1957,"Oct-Dec","PD","Gargett",7.09
"460",1958,"Oct-Dec","PD","Gargett",6.93
"461",1959,"Oct-Dec","PD","Gargett",3.77
"462",1960,"Oct-Dec","PD","Gargett",2.34
"463",1961,"Oct-Dec","PD","Gargett",6.01
"464",1962,"Oct-Dec","PD","Gargett",3.73
"465",1963,"Oct-Dec","PD","Gargett",8.47
"466",1964,"Oct-Dec","PD","Gargett",6.16
"467",1965,"Oct-Dec","PD","Gargett",2.28
"468",1966,"Oct-Dec","PD","Gargett",6.54
"469",1967,"Oct-Dec","PD","Gargett",7.88
"470",1968,"Oct-Dec","PD","Gargett",4.34
"471",1969,"Oct-Dec","PD","Gargett",2.35
"472",1970,"Oct-Dec","PD","Gargett",6.73
"473",1971,"Oct-Dec","PD","Gargett",2.17
"474",1972,"Oct-Dec","PD","Gargett",1.48
"475",1973,"Oct-Dec","PD","Gargett",5.69
"476",1974,"Oct-Dec","PD","Gargett",3.56
"477",1975,"Oct-Dec","PD","Gargett",7.69
"478",1976,"Oct-Dec","PD","Gargett",4.62
"479",1977,"Oct-Dec","PD","Gargett",4.66
"480",1978,"Oct-Dec","PD","Gargett",7.53
"481",1979,"Oct-Dec","PD","Gargett",6.06
"482",1980,"Oct-Dec","PD","Gargett",5.49
"483",1981,"Oct-Dec","PD","Gargett",4.49
"484",1982,"Oct-Dec","PD","Gargett",1.23
"485",1983,"Oct-Dec","PD","Gargett",5.52
"486",1984,"Oct-Dec","PD","Gargett",7.19
"487",1985,"Oct-Dec","PD","Gargett",7.78
"488",1986,"Oct-Dec","PD","Gargett",6.12
"489",1987,"Oct-Dec","PD","Gargett",7.58
"490",1988,"Oct-Dec","PD","Gargett",8.23
"491",1989,"Oct-Dec","PD","Gargett",8.04
"492",1990,"Oct-Dec","PD","Gargett",2.96
"493",1991,"Oct-Dec","PD","Gargett",1.36
"494",1992,"Oct-Dec","PD","Gargett",0
"495",1993,"Oct-Dec","PD","Gargett",6.47
"496",1994,"Oct-Dec","PD","Gargett",0.41
"497",1995,"Oct-Dec","PD","Gargett",6.36
"498",1996,"Oct-Dec","PD","Gargett",2.2
"499",1997,"Oct-Dec","PD","Gargett",5.25
"500",1998,"Oct-Dec","PD","Gargett",28.14
"501",1999,"Oct-Dec","PD","Gargett",8.21
"502",2000,"Oct-Dec","PD","Gargett",5.09
"503",2001,"Oct-Dec","PD","Gargett",4.22
"504",2002,"Oct-Dec","PD","Gargett",2.31
"505",2003,"Oct-Dec","PD","Gargett",3.73
"506",2004,"Oct-Dec","PD","Gargett",1.44
"507",2005,"Oct-Dec","PD","Gargett",5.63
"508",2006,"Oct-Dec","PD","Gargett",7.84
"509",2007,"Oct-Dec","PD","Gargett",6.95
"510",2008,"Oct-Dec","PD","Gargett",6.37
"511",2009,"Oct-Dec","PD","Gargett",7.51
"512",2010,"Oct-Dec","PD","Gargett",12.97
"513",2011,"Oct-Dec","PD","Gargett",8.02
"514",2012,"Oct-Dec","PD","Gargett",7.37
"515",2013,"Oct-Dec","PD","Gargett",7.01
"516",2014,"Oct-Dec","PD","Gargett",6.29
"517",2015,"Oct-Dec","PD","Gargett",6.18
