Year,Season,Site,Scenario,Habitat
1959,Jan-Mar,Picnic Crossing,FE,6.45
1960,Jan-Mar,Picnic Crossing,FE,3.76
1961,Jan-Mar,Picnic Crossing,FE,8.55
1962,Jan-Mar,Picnic Crossing,FE,3.68
1963,Jan-Mar,Picnic Crossing,FE,4.56
1964,Jan-Mar,Picnic Crossing,FE,5.85
1965,Jan-Mar,Picnic Crossing,FE,8.11
1966,Jan-Mar,Picnic Crossing,FE,0.21
1967,Jan-Mar,Picnic Crossing,FE,8.57
1968,Jan-Mar,Picnic Crossing,FE,3.29
1969,Jan-Mar,Picnic Crossing,FE,5.3
1970,Jan-Mar,Picnic Crossing,FE,2.06
1971,Jan-Mar,Picnic Crossing,FE,3.52
1972,Jan-Mar,Picnic Crossing,FE,5.09
1973,Jan-Mar,Picnic Crossing,FE,2.03
1974,Jan-Mar,Picnic Crossing,FE,4.12
1975,Jan-Mar,Picnic Crossing,FE,5.57
1976,Jan-Mar,Picnic Crossing,FE,3.02
1977,Jan-Mar,Picnic Crossing,FE,8.3
1978,Jan-Mar,Picnic Crossing,FE,3.58
1979,Jan-Mar,Picnic Crossing,FE,5.29
1980,Jan-Mar,Picnic Crossing,FE,5.47
1981,Jan-Mar,Picnic Crossing,FE,9
1982,Jan-Mar,Picnic Crossing,FE,3.87
1983,Jan-Mar,Picnic Crossing,FE,9.54
1984,Jan-Mar,Picnic Crossing,FE,2.6
1985,Jan-Mar,Picnic Crossing,FE,7.15
1986,Jan-Mar,Picnic Crossing,FE,2.01
1987,Jan-Mar,Picnic Crossing,FE,3.71
1988,Jan-Mar,Picnic Crossing,FE,5.69
1989,Jan-Mar,Picnic Crossing,FE,6.04
1990,Jan-Mar,Picnic Crossing,FE,5.27
1991,Jan-Mar,Picnic Crossing,FE,4.55
1992,Jan-Mar,Picnic Crossing,FE,1.32
1993,Jan-Mar,Picnic Crossing,FE,3.59
1994,Jan-Mar,Picnic Crossing,FE,1.41
1995,Jan-Mar,Picnic Crossing,FE,4.1
1996,Jan-Mar,Picnic Crossing,FE,5.36
1997,Jan-Mar,Picnic Crossing,FE,9.08
1998,Jan-Mar,Picnic Crossing,FE,3.15
1999,Jan-Mar,Picnic Crossing,FE,3.61
2000,Jan-Mar,Picnic Crossing,FE,5.34
2001,Jan-Mar,Picnic Crossing,FE,6.68
2002,Jan-Mar,Picnic Crossing,FE,0.55
2003,Jan-Mar,Picnic Crossing,FE,2.83
2004,Jan-Mar,Picnic Crossing,FE,7.35
2005,Jan-Mar,Picnic Crossing,FE,4.17
2006,Jan-Mar,Picnic Crossing,FE,7.02
2007,Jan-Mar,Picnic Crossing,FE,2.66
2008,Jan-Mar,Picnic Crossing,FE,8.24
2009,Jan-Mar,Picnic Crossing,FE,7.34
2010,Jan-Mar,Picnic Crossing,FE,1.58
2011,Jan-Mar,Picnic Crossing,FE,6.67
2012,Jan-Mar,Picnic Crossing,FE,5.79
2013,Jan-Mar,Picnic Crossing,FE,6.54
2014,Jan-Mar,Picnic Crossing,FE,5.36
2015,Jan-Mar,Picnic Crossing,FE,9.3
2016,Jan-Mar,Picnic Crossing,FE,7.87
2017,Jan-Mar,Picnic Crossing,FE,3.58
2018,Jan-Mar,Picnic Crossing,FE,10.11
1889,Jan-Mar,Tinaroo Falls,PD,17.32
1890,Jan-Mar,Tinaroo Falls,PD,9.32
1891,Jan-Mar,Tinaroo Falls,PD,13.79
1892,Jan-Mar,Tinaroo Falls,PD,9.56
1893,Jan-Mar,Tinaroo Falls,PD,13.38
1894,Jan-Mar,Tinaroo Falls,PD,13.71
1895,Jan-Mar,Tinaroo Falls,PD,12.14
1896,Jan-Mar,Tinaroo Falls,PD,15.21
1897,Jan-Mar,Tinaroo Falls,PD,15.23
1898,Jan-Mar,Tinaroo Falls,PD,7.9
1899,Jan-Mar,Tinaroo Falls,PD,15.94
1900,Jan-Mar,Tinaroo Falls,PD,13.16
1901,Jan-Mar,Tinaroo Falls,PD,9.97
1902,Jan-Mar,Tinaroo Falls,PD,8.18
1903,Jan-Mar,Tinaroo Falls,PD,16.58
1904,Jan-Mar,Tinaroo Falls,PD,12.17
1905,Jan-Mar,Tinaroo Falls,PD,14.92
1906,Jan-Mar,Tinaroo Falls,PD,18.84
1907,Jan-Mar,Tinaroo Falls,PD,17
1908,Jan-Mar,Tinaroo Falls,PD,15.01
1909,Jan-Mar,Tinaroo Falls,PD,7.18
1910,Jan-Mar,Tinaroo Falls,PD,11.67
1911,Jan-Mar,Tinaroo Falls,PD,9.26
1912,Jan-Mar,Tinaroo Falls,PD,6.19
1913,Jan-Mar,Tinaroo Falls,PD,11.65
1914,Jan-Mar,Tinaroo Falls,PD,9.31
1915,Jan-Mar,Tinaroo Falls,PD,6.67
1916,Jan-Mar,Tinaroo Falls,PD,13.49
1917,Jan-Mar,Tinaroo Falls,PD,11.55
1918,Jan-Mar,Tinaroo Falls,PD,8.74
1919,Jan-Mar,Tinaroo Falls,PD,7.64
1920,Jan-Mar,Tinaroo Falls,PD,6.07
1921,Jan-Mar,Tinaroo Falls,PD,8.96
1922,Jan-Mar,Tinaroo Falls,PD,8.62
1923,Jan-Mar,Tinaroo Falls,PD,8.67
1924,Jan-Mar,Tinaroo Falls,PD,8.74
1925,Jan-Mar,Tinaroo Falls,PD,9.66
1926,Jan-Mar,Tinaroo Falls,PD,11.93
1927,Jan-Mar,Tinaroo Falls,PD,10.6
1928,Jan-Mar,Tinaroo Falls,PD,10.55
1929,Jan-Mar,Tinaroo Falls,PD,13.92
1930,Jan-Mar,Tinaroo Falls,PD,9.4
1931,Jan-Mar,Tinaroo Falls,PD,9.93
1932,Jan-Mar,Tinaroo Falls,PD,10
1933,Jan-Mar,Tinaroo Falls,PD,3.1
1934,Jan-Mar,Tinaroo Falls,PD,9.62
1935,Jan-Mar,Tinaroo Falls,PD,7.98
1936,Jan-Mar,Tinaroo Falls,PD,7.13
1937,Jan-Mar,Tinaroo Falls,PD,8.47
1938,Jan-Mar,Tinaroo Falls,PD,7.33
1939,Jan-Mar,Tinaroo Falls,PD,6.02
1940,Jan-Mar,Tinaroo Falls,PD,6.46
1941,Jan-Mar,Tinaroo Falls,PD,9.74
1942,Jan-Mar,Tinaroo Falls,PD,10.69
1943,Jan-Mar,Tinaroo Falls,PD,8.8
1944,Jan-Mar,Tinaroo Falls,PD,4.17
1945,Jan-Mar,Tinaroo Falls,PD,10.55
1946,Jan-Mar,Tinaroo Falls,PD,7.85
1947,Jan-Mar,Tinaroo Falls,PD,9.78
1948,Jan-Mar,Tinaroo Falls,PD,11.11
1949,Jan-Mar,Tinaroo Falls,PD,10.17
1950,Jan-Mar,Tinaroo Falls,PD,18.35
1951,Jan-Mar,Tinaroo Falls,PD,8.24
1952,Jan-Mar,Tinaroo Falls,PD,10.37
1953,Jan-Mar,Tinaroo Falls,PD,11.23
1954,Jan-Mar,Tinaroo Falls,PD,6.73
1955,Jan-Mar,Tinaroo Falls,PD,12.29
1956,Jan-Mar,Tinaroo Falls,PD,15.56
1957,Jan-Mar,Tinaroo Falls,PD,10.44
1958,Jan-Mar,Tinaroo Falls,PD,7.49
1959,Jan-Mar,Tinaroo Falls,PD,13.16
1960,Jan-Mar,Tinaroo Falls,PD,8.48
1961,Jan-Mar,Tinaroo Falls,PD,16.8
1962,Jan-Mar,Tinaroo Falls,PD,9.03
1963,Jan-Mar,Tinaroo Falls,PD,8.09
1964,Jan-Mar,Tinaroo Falls,PD,7.84
1965,Jan-Mar,Tinaroo Falls,PD,8.71
1966,Jan-Mar,Tinaroo Falls,PD,6.58
1967,Jan-Mar,Tinaroo Falls,PD,13.74
1968,Jan-Mar,Tinaroo Falls,PD,8.69
1969,Jan-Mar,Tinaroo Falls,PD,9.47
1970,Jan-Mar,Tinaroo Falls,PD,7.91
1971,Jan-Mar,Tinaroo Falls,PD,5.55
1972,Jan-Mar,Tinaroo Falls,PD,8.69
1973,Jan-Mar,Tinaroo Falls,PD,6.6
1974,Jan-Mar,Tinaroo Falls,PD,10.78
1975,Jan-Mar,Tinaroo Falls,PD,13.88
1976,Jan-Mar,Tinaroo Falls,PD,5.28
1977,Jan-Mar,Tinaroo Falls,PD,9.3
1978,Jan-Mar,Tinaroo Falls,PD,5.49
1979,Jan-Mar,Tinaroo Falls,PD,8.55
1980,Jan-Mar,Tinaroo Falls,PD,15.18
1981,Jan-Mar,Tinaroo Falls,PD,10.74
1982,Jan-Mar,Tinaroo Falls,PD,9.54
1983,Jan-Mar,Tinaroo Falls,PD,12.92
1984,Jan-Mar,Tinaroo Falls,PD,10.32
1985,Jan-Mar,Tinaroo Falls,PD,10.93
1986,Jan-Mar,Tinaroo Falls,PD,8.76
1987,Jan-Mar,Tinaroo Falls,PD,9.09
1988,Jan-Mar,Tinaroo Falls,PD,9.73
1989,Jan-Mar,Tinaroo Falls,PD,8.05
1990,Jan-Mar,Tinaroo Falls,PD,7.85
1991,Jan-Mar,Tinaroo Falls,PD,8.45
1992,Jan-Mar,Tinaroo Falls,PD,8.94
1993,Jan-Mar,Tinaroo Falls,PD,11.3
1994,Jan-Mar,Tinaroo Falls,PD,7.2
1995,Jan-Mar,Tinaroo Falls,PD,8.37
1996,Jan-Mar,Tinaroo Falls,PD,9.11
1997,Jan-Mar,Tinaroo Falls,PD,15.01
1998,Jan-Mar,Tinaroo Falls,PD,7.29
1999,Jan-Mar,Tinaroo Falls,PD,5.9
2000,Jan-Mar,Tinaroo Falls,PD,11.39
2001,Jan-Mar,Tinaroo Falls,PD,10.47
2002,Jan-Mar,Tinaroo Falls,PD,7.78
2003,Jan-Mar,Tinaroo Falls,PD,6.22
2004,Jan-Mar,Tinaroo Falls,PD,9.29
2005,Jan-Mar,Tinaroo Falls,PD,6.94
2006,Jan-Mar,Tinaroo Falls,PD,13.69
2007,Jan-Mar,Tinaroo Falls,PD,4.32
2008,Jan-Mar,Tinaroo Falls,PD,13.61
2009,Jan-Mar,Tinaroo Falls,PD,17.29
2010,Jan-Mar,Tinaroo Falls,PD,3.32
2011,Jan-Mar,Tinaroo Falls,PD,11.83
2012,Jan-Mar,Tinaroo Falls,PD,8.94
2013,Jan-Mar,Tinaroo Falls,PD,11.37
2014,Jan-Mar,Tinaroo Falls,PD,8.61
2015,Jan-Mar,Tinaroo Falls,PD,10.55
2016,Jan-Mar,Tinaroo Falls,PD,14.1
2017,Jan-Mar,Tinaroo Falls,PD,5.67
2018,Jan-Mar,Tinaroo Falls,PD,16.87
1889,Jan-Mar,Tinaroo Falls,FE,0
1890,Jan-Mar,Tinaroo Falls,FE,0
1891,Jan-Mar,Tinaroo Falls,FE,2.06
1892,Jan-Mar,Tinaroo Falls,FE,1.34
1893,Jan-Mar,Tinaroo Falls,FE,0
1894,Jan-Mar,Tinaroo Falls,FE,0
1895,Jan-Mar,Tinaroo Falls,FE,0
1896,Jan-Mar,Tinaroo Falls,FE,0.11
1897,Jan-Mar,Tinaroo Falls,FE,0
1898,Jan-Mar,Tinaroo Falls,FE,0
1899,Jan-Mar,Tinaroo Falls,FE,0
1900,Jan-Mar,Tinaroo Falls,FE,0
1901,Jan-Mar,Tinaroo Falls,FE,1.39
1902,Jan-Mar,Tinaroo Falls,FE,0
1903,Jan-Mar,Tinaroo Falls,FE,0
1904,Jan-Mar,Tinaroo Falls,FE,0
1905,Jan-Mar,Tinaroo Falls,FE,1.36
1906,Jan-Mar,Tinaroo Falls,FE,0
1907,Jan-Mar,Tinaroo Falls,FE,0
1908,Jan-Mar,Tinaroo Falls,FE,0
1909,Jan-Mar,Tinaroo Falls,FE,0
1910,Jan-Mar,Tinaroo Falls,FE,4.88
1911,Jan-Mar,Tinaroo Falls,FE,1.45
1912,Jan-Mar,Tinaroo Falls,FE,1.58
1913,Jan-Mar,Tinaroo Falls,FE,0.02
1914,Jan-Mar,Tinaroo Falls,FE,2.69
1915,Jan-Mar,Tinaroo Falls,FE,0.09
1916,Jan-Mar,Tinaroo Falls,FE,0
1917,Jan-Mar,Tinaroo Falls,FE,0
1918,Jan-Mar,Tinaroo Falls,FE,1.27
1919,Jan-Mar,Tinaroo Falls,FE,0.07
1920,Jan-Mar,Tinaroo Falls,FE,0
1921,Jan-Mar,Tinaroo Falls,FE,2.79
1922,Jan-Mar,Tinaroo Falls,FE,0.79
1923,Jan-Mar,Tinaroo Falls,FE,2.34
1924,Jan-Mar,Tinaroo Falls,FE,0
1925,Jan-Mar,Tinaroo Falls,FE,0.77
1926,Jan-Mar,Tinaroo Falls,FE,1.68
1927,Jan-Mar,Tinaroo Falls,FE,2
1928,Jan-Mar,Tinaroo Falls,FE,0
1929,Jan-Mar,Tinaroo Falls,FE,1.58
1930,Jan-Mar,Tinaroo Falls,FE,1.84
1931,Jan-Mar,Tinaroo Falls,FE,0
1932,Jan-Mar,Tinaroo Falls,FE,0
1933,Jan-Mar,Tinaroo Falls,FE,0.11
1934,Jan-Mar,Tinaroo Falls,FE,0.74
1935,Jan-Mar,Tinaroo Falls,FE,2.09
1936,Jan-Mar,Tinaroo Falls,FE,0
1937,Jan-Mar,Tinaroo Falls,FE,1.53
1938,Jan-Mar,Tinaroo Falls,FE,0
1939,Jan-Mar,Tinaroo Falls,FE,0
1940,Jan-Mar,Tinaroo Falls,FE,0
1941,Jan-Mar,Tinaroo Falls,FE,4.2
1942,Jan-Mar,Tinaroo Falls,FE,0.05
1943,Jan-Mar,Tinaroo Falls,FE,0
1944,Jan-Mar,Tinaroo Falls,FE,0
1945,Jan-Mar,Tinaroo Falls,FE,0.47
1946,Jan-Mar,Tinaroo Falls,FE,2.01
1947,Jan-Mar,Tinaroo Falls,FE,2.31
1948,Jan-Mar,Tinaroo Falls,FE,0
1949,Jan-Mar,Tinaroo Falls,FE,0
1950,Jan-Mar,Tinaroo Falls,FE,13.84
1951,Jan-Mar,Tinaroo Falls,FE,1.26
1952,Jan-Mar,Tinaroo Falls,FE,0
1953,Jan-Mar,Tinaroo Falls,FE,0.41
1954,Jan-Mar,Tinaroo Falls,FE,1
1955,Jan-Mar,Tinaroo Falls,FE,0
1956,Jan-Mar,Tinaroo Falls,FE,0
1957,Jan-Mar,Tinaroo Falls,FE,0
1958,Jan-Mar,Tinaroo Falls,FE,0
1959,Jan-Mar,Tinaroo Falls,FE,0
1960,Jan-Mar,Tinaroo Falls,FE,1.84
1961,Jan-Mar,Tinaroo Falls,FE,0
1962,Jan-Mar,Tinaroo Falls,FE,0
1963,Jan-Mar,Tinaroo Falls,FE,0
1964,Jan-Mar,Tinaroo Falls,FE,0.19
1965,Jan-Mar,Tinaroo Falls,FE,0.34
1966,Jan-Mar,Tinaroo Falls,FE,2.11
1967,Jan-Mar,Tinaroo Falls,FE,0.83
1968,Jan-Mar,Tinaroo Falls,FE,0
1969,Jan-Mar,Tinaroo Falls,FE,0
1970,Jan-Mar,Tinaroo Falls,FE,0
1971,Jan-Mar,Tinaroo Falls,FE,0
1972,Jan-Mar,Tinaroo Falls,FE,2.64
1973,Jan-Mar,Tinaroo Falls,FE,1.67
1974,Jan-Mar,Tinaroo Falls,FE,0
1975,Jan-Mar,Tinaroo Falls,FE,0
1976,Jan-Mar,Tinaroo Falls,FE,1.14
1977,Jan-Mar,Tinaroo Falls,FE,0
1978,Jan-Mar,Tinaroo Falls,FE,10.2
1979,Jan-Mar,Tinaroo Falls,FE,0
1980,Jan-Mar,Tinaroo Falls,FE,0
1981,Jan-Mar,Tinaroo Falls,FE,0.04
1982,Jan-Mar,Tinaroo Falls,FE,2.01
1983,Jan-Mar,Tinaroo Falls,FE,0
1984,Jan-Mar,Tinaroo Falls,FE,0
1985,Jan-Mar,Tinaroo Falls,FE,0
1986,Jan-Mar,Tinaroo Falls,FE,0
1987,Jan-Mar,Tinaroo Falls,FE,0
1988,Jan-Mar,Tinaroo Falls,FE,0
1989,Jan-Mar,Tinaroo Falls,FE,0
1990,Jan-Mar,Tinaroo Falls,FE,10.03
1991,Jan-Mar,Tinaroo Falls,FE,0.93
1992,Jan-Mar,Tinaroo Falls,FE,0.47
1993,Jan-Mar,Tinaroo Falls,FE,0
1994,Jan-Mar,Tinaroo Falls,FE,0
1995,Jan-Mar,Tinaroo Falls,FE,0
1996,Jan-Mar,Tinaroo Falls,FE,0
1997,Jan-Mar,Tinaroo Falls,FE,0
1998,Jan-Mar,Tinaroo Falls,FE,0
1999,Jan-Mar,Tinaroo Falls,FE,3.07
2000,Jan-Mar,Tinaroo Falls,FE,5.89
2001,Jan-Mar,Tinaroo Falls,FE,1.51
2002,Jan-Mar,Tinaroo Falls,FE,1.03
2003,Jan-Mar,Tinaroo Falls,FE,0
2004,Jan-Mar,Tinaroo Falls,FE,0.02
2005,Jan-Mar,Tinaroo Falls,FE,0.19
2006,Jan-Mar,Tinaroo Falls,FE,0.91
2007,Jan-Mar,Tinaroo Falls,FE,0.96
2008,Jan-Mar,Tinaroo Falls,FE,2.68
2009,Jan-Mar,Tinaroo Falls,FE,1.48
2010,Jan-Mar,Tinaroo Falls,FE,7.89
2011,Jan-Mar,Tinaroo Falls,FE,0
