Year,Season,Scenario,Site,Habitat
1906,Apr-Jun,PD,Gargett,9.82
1907,Apr-Jun,PD,Gargett,18.49
1908,Apr-Jun,PD,Gargett,10.82
1909,Apr-Jun,PD,Gargett,20.14
1910,Apr-Jun,PD,Gargett,16.54
1911,Apr-Jun,PD,Gargett,9.15
1912,Apr-Jun,PD,Gargett,22.43
1913,Apr-Jun,PD,Gargett,14.81
1914,Apr-Jun,PD,Gargett,0
1915,Apr-Jun,PD,Gargett,8.66
1916,Apr-Jun,PD,Gargett,12.4
1917,Apr-Jun,PD,Gargett,15.63
1918,Apr-Jun,PD,Gargett,16.89
1919,Apr-Jun,PD,Gargett,17.49
1920,Apr-Jun,PD,Gargett,15.81
1921,Apr-Jun,PD,Gargett,10.86
1922,Apr-Jun,PD,Gargett,8.54
1923,Apr-Jun,PD,Gargett,11.72
1924,Apr-Jun,PD,Gargett,17.36
1925,Apr-Jun,PD,Gargett,8.69
1926,Apr-Jun,PD,Gargett,15.02
1927,Apr-Jun,PD,Gargett,20.96
1928,Apr-Jun,PD,Gargett,18.81
1929,Apr-Jun,PD,Gargett,10.59
1930,Apr-Jun,PD,Gargett,10.76
1931,Apr-Jun,PD,Gargett,10.98
1932,Apr-Jun,PD,Gargett,9.72
1933,Apr-Jun,PD,Gargett,12.75
1934,Apr-Jun,PD,Gargett,9.06
1935,Apr-Jun,PD,Gargett,18.2
1936,Apr-Jun,PD,Gargett,11.14
1937,Apr-Jun,PD,Gargett,9.59
1938,Apr-Jun,PD,Gargett,20.18
1939,Apr-Jun,PD,Gargett,15.21
1940,Apr-Jun,PD,Gargett,24.37
1941,Apr-Jun,PD,Gargett,11.67
1942,Apr-Jun,PD,Gargett,11.65
1943,Apr-Jun,PD,Gargett,17.26
1944,Apr-Jun,PD,Gargett,14.61
1945,Apr-Jun,PD,Gargett,16.37
1946,Apr-Jun,PD,Gargett,13.08
1947,Apr-Jun,PD,Gargett,8.19
1948,Apr-Jun,PD,Gargett,20.74
1949,Apr-Jun,PD,Gargett,25.32
1950,Apr-Jun,PD,Gargett,10.93
1951,Apr-Jun,PD,Gargett,9.92
1952,Apr-Jun,PD,Gargett,13.57
1953,Apr-Jun,PD,Gargett,23.19
1954,Apr-Jun,PD,Gargett,25.35
1955,Apr-Jun,PD,Gargett,24.42
1956,Apr-Jun,PD,Gargett,9.98
1957,Apr-Jun,PD,Gargett,19.5
1958,Apr-Jun,PD,Gargett,15.01
1959,Apr-Jun,PD,Gargett,12.72
1960,Apr-Jun,PD,Gargett,11.04
1961,Apr-Jun,PD,Gargett,14.25
1962,Apr-Jun,PD,Gargett,20.61
1963,Apr-Jun,PD,Gargett,11.72
1964,Apr-Jun,PD,Gargett,9.52
1965,Apr-Jun,PD,Gargett,8.43
1966,Apr-Jun,PD,Gargett,11.87
1967,Apr-Jun,PD,Gargett,13.98
1968,Apr-Jun,PD,Gargett,10.53
1969,Apr-Jun,PD,Gargett,13.3
1970,Apr-Jun,PD,Gargett,13.78
1971,Apr-Jun,PD,Gargett,11.6
1972,Apr-Jun,PD,Gargett,10.83
1973,Apr-Jun,PD,Gargett,23.04
1974,Apr-Jun,PD,Gargett,15.04
1975,Apr-Jun,PD,Gargett,19.03
1976,Apr-Jun,PD,Gargett,25.58
1977,Apr-Jun,PD,Gargett,10.03
1978,Apr-Jun,PD,Gargett,21.61
1979,Apr-Jun,PD,Gargett,15.27
1980,Apr-Jun,PD,Gargett,17.69
1981,Apr-Jun,PD,Gargett,9.78
1982,Apr-Jun,PD,Gargett,8.31
1983,Apr-Jun,PD,Gargett,8.72
1984,Apr-Jun,PD,Gargett,18.62
1985,Apr-Jun,PD,Gargett,11.29
1986,Apr-Jun,PD,Gargett,7.78
1987,Apr-Jun,PD,Gargett,12.25
1988,Apr-Jun,PD,Gargett,29.08
1989,Apr-Jun,PD,Gargett,20.33
1990,Apr-Jun,PD,Gargett,11.77
1991,Apr-Jun,PD,Gargett,4.04
1992,Apr-Jun,PD,Gargett,7.88
1993,Apr-Jun,PD,Gargett,11.28
1994,Apr-Jun,PD,Gargett,8.9
1995,Apr-Jun,PD,Gargett,8.44
1996,Apr-Jun,PD,Gargett,13.43
1997,Apr-Jun,PD,Gargett,10.6
1998,Apr-Jun,PD,Gargett,22.99
1999,Apr-Jun,PD,Gargett,27.62
2000,Apr-Jun,PD,Gargett,14.07
2001,Apr-Jun,PD,Gargett,7.61
2002,Apr-Jun,PD,Gargett,7.61
2003,Apr-Jun,PD,Gargett,8.48
2004,Apr-Jun,PD,Gargett,9.13
2005,Apr-Jun,PD,Gargett,11.92
2006,Apr-Jun,PD,Gargett,17.62
2007,Apr-Jun,PD,Gargett,12.42
2008,Apr-Jun,PD,Gargett,14.82
2009,Apr-Jun,PD,Gargett,21.26
2010,Apr-Jun,PD,Gargett,20.28
2011,Apr-Jun,PD,Gargett,16.5
2012,Apr-Jun,PD,Gargett,23.63
2013,Apr-Jun,PD,Gargett,16.81
2014,Apr-Jun,PD,Gargett,8.23
2015,Apr-Jun,PD,Gargett,9.68
2016,Apr-Jun,PD,Gargett,15.82
2017,Apr-Jun,PD,Gargett,14.4
2018,Apr-Jun,PD,Gargett,16.67
1889,Jul-Sep,PD,Gargett,9.74
1890,Jul-Sep,PD,Gargett,9.8
1891,Jul-Sep,PD,Gargett,12.15
1892,Jul-Sep,PD,Gargett,7.53
1893,Jul-Sep,PD,Gargett,9.61
1894,Jul-Sep,PD,Gargett,15.92
1895,Jul-Sep,PD,Gargett,7.2
1896,Jul-Sep,PD,Gargett,8.12
1897,Jul-Sep,PD,Gargett,5.01
1898,Jul-Sep,PD,Gargett,9
1899,Jul-Sep,PD,Gargett,8.7
1900,Jul-Sep,PD,Gargett,6.91
1901,Jul-Sep,PD,Gargett,7.57
1902,Jul-Sep,PD,Gargett,0.24
1903,Jul-Sep,PD,Gargett,9.51
1904,Jul-Sep,PD,Gargett,6.56
1905,Jul-Sep,PD,Gargett,6.49
1906,Jul-Sep,PD,Gargett,9.82
1907,Jul-Sep,PD,Gargett,9.36
1908,Jul-Sep,PD,Gargett,8.96
1909,Jul-Sep,PD,Gargett,6.56
1910,Jul-Sep,PD,Gargett,9.27
1911,Jul-Sep,PD,Gargett,8.72
1912,Jul-Sep,PD,Gargett,14.78
1913,Jul-Sep,PD,Gargett,11.48
1914,Jul-Sep,PD,Gargett,11.38
1915,Jul-Sep,PD,Gargett,0
1916,Jul-Sep,PD,Gargett,8.51
1917,Jul-Sep,PD,Gargett,10.27
1918,Jul-Sep,PD,Gargett,8.82
1919,Jul-Sep,PD,Gargett,11.11
1920,Jul-Sep,PD,Gargett,13.19
1921,Jul-Sep,PD,Gargett,13.97
1922,Jul-Sep,PD,Gargett,8.88
1923,Jul-Sep,PD,Gargett,7.82
1924,Jul-Sep,PD,Gargett,11.36
1925,Jul-Sep,PD,Gargett,10.21
1926,Jul-Sep,PD,Gargett,5.94
1927,Jul-Sep,PD,Gargett,9.84
1928,Jul-Sep,PD,Gargett,9.32
1929,Jul-Sep,PD,Gargett,9.64
1930,Jul-Sep,PD,Gargett,14.12
1931,Jul-Sep,PD,Gargett,8.05
1932,Jul-Sep,PD,Gargett,8.83
1933,Jul-Sep,PD,Gargett,10.59
1934,Jul-Sep,PD,Gargett,10.64
1935,Jul-Sep,PD,Gargett,6.75
1936,Jul-Sep,PD,Gargett,15.46
1937,Jul-Sep,PD,Gargett,9.56
1938,Jul-Sep,PD,Gargett,9.93
1939,Jul-Sep,PD,Gargett,10.2
1940,Jul-Sep,PD,Gargett,9.54
1941,Jul-Sep,PD,Gargett,12.66
1942,Jul-Sep,PD,Gargett,19.32
1943,Jul-Sep,PD,Gargett,9.64
1944,Jul-Sep,PD,Gargett,10.06
1945,Jul-Sep,PD,Gargett,11.04
1946,Jul-Sep,PD,Gargett,7.96
1947,Jul-Sep,PD,Gargett,9.43
1948,Jul-Sep,PD,Gargett,8.58
1949,Jul-Sep,PD,Gargett,9.14
1950,Jul-Sep,PD,Gargett,27.41
1951,Jul-Sep,PD,Gargett,6.56
1952,Jul-Sep,PD,Gargett,9.13
1953,Jul-Sep,PD,Gargett,7.51
1954,Jul-Sep,PD,Gargett,9.79
1955,Jul-Sep,PD,Gargett,12.18
1956,Jul-Sep,PD,Gargett,11.1
1957,Jul-Sep,PD,Gargett,8.65
1958,Jul-Sep,PD,Gargett,10.89
1959,Jul-Sep,PD,Gargett,9.27
1960,Jul-Sep,PD,Gargett,7.44
1961,Jul-Sep,PD,Gargett,8.89
1962,Jul-Sep,PD,Gargett,7.78
1963,Jul-Sep,PD,Gargett,10.49
1964,Jul-Sep,PD,Gargett,9.77
1965,Jul-Sep,PD,Gargett,7.14
1966,Jul-Sep,PD,Gargett,6.14
1967,Jul-Sep,PD,Gargett,13.79
1968,Jul-Sep,PD,Gargett,8.45
1969,Jul-Sep,PD,Gargett,9.59
1970,Jul-Sep,PD,Gargett,8.86
1971,Jul-Sep,PD,Gargett,8.83
1972,Jul-Sep,PD,Gargett,10
1973,Jul-Sep,PD,Gargett,10.27
1974,Jul-Sep,PD,Gargett,10.54
1975,Jul-Sep,PD,Gargett,10.15
1976,Jul-Sep,PD,Gargett,9.65
1977,Jul-Sep,PD,Gargett,10.4
1978,Jul-Sep,PD,Gargett,8.56
1979,Jul-Sep,PD,Gargett,9.43
1980,Jul-Sep,PD,Gargett,10.08
1981,Jul-Sep,PD,Gargett,9.48
1982,Jul-Sep,PD,Gargett,7.6
1983,Jul-Sep,PD,Gargett,10.21
1984,Jul-Sep,PD,Gargett,7.5
1985,Jul-Sep,PD,Gargett,10.42
1986,Jul-Sep,PD,Gargett,9.8
1987,Jul-Sep,PD,Gargett,9.98
1988,Jul-Sep,PD,Gargett,11.34
1989,Jul-Sep,PD,Gargett,12.47
1990,Jul-Sep,PD,Gargett,11.04
1991,Jul-Sep,PD,Gargett,8.19
1992,Jul-Sep,PD,Gargett,1.9
1993,Jul-Sep,PD,Gargett,8.74
1994,Jul-Sep,PD,Gargett,8.28
1995,Jul-Sep,PD,Gargett,8.21
1996,Jul-Sep,PD,Gargett,7.47
1997,Jul-Sep,PD,Gargett,9.9
1998,Jul-Sep,PD,Gargett,14.43
1999,Jul-Sep,PD,Gargett,10.22
2000,Jul-Sep,PD,Gargett,11.67
2001,Jul-Sep,PD,Gargett,8.88
2002,Jul-Sep,PD,Gargett,8.82
2003,Jul-Sep,PD,Gargett,7.43
2004,Jul-Sep,PD,Gargett,4.07
2005,Jul-Sep,PD,Gargett,9.2
2006,Jul-Sep,PD,Gargett,9.99
2007,Jul-Sep,PD,Gargett,12.52
2008,Jul-Sep,PD,Gargett,8.75
2009,Jul-Sep,PD,Gargett,8.97
2010,Jul-Sep,PD,Gargett,10.1
2011,Jul-Sep,PD,Gargett,10.98
2012,Jul-Sep,PD,Gargett,14.85
2013,Jul-Sep,PD,Gargett,11.13
2014,Jul-Sep,PD,Gargett,10.23
2015,Jul-Sep,PD,Gargett,9.87
2016,Jul-Sep,PD,Gargett,10.69
2017,Jul-Sep,PD,Gargett,9.99
2018,Jul-Sep,PD,Gargett,8.96
1889,Oct-Dec,PD,Gargett,8.26
1890,Oct-Dec,PD,Gargett,10.8
1891,Oct-Dec,PD,Gargett,8.33
1892,Oct-Dec,PD,Gargett,4.43
1893,Oct-Dec,PD,Gargett,9.31
1894,Oct-Dec,PD,Gargett,8.04
1895,Oct-Dec,PD,Gargett,0.51
1896,Oct-Dec,PD,Gargett,1.48
1897,Oct-Dec,PD,Gargett,0.72
1898,Oct-Dec,PD,Gargett,2.83
1899,Oct-Dec,PD,Gargett,4.9
1900,Oct-Dec,PD,Gargett,0.9
1901,Oct-Dec,PD,Gargett,4.8
1902,Oct-Dec,PD,Gargett,1.13
1903,Oct-Dec,PD,Gargett,6.1
1904,Oct-Dec,PD,Gargett,1.19
1905,Oct-Dec,PD,Gargett,2.75
1906,Oct-Dec,PD,Gargett,8.12
1907,Oct-Dec,PD,Gargett,4.84
1908,Oct-Dec,PD,Gargett,2.52
1909,Oct-Dec,PD,Gargett,1.38
1910,Oct-Dec,PD,Gargett,5.9
1911,Oct-Dec,PD,Gargett,1.68
1912,Oct-Dec,PD,Gargett,7.62
1913,Oct-Dec,PD,Gargett,5.96
1914,Oct-Dec,PD,Gargett,7.65
1915,Oct-Dec,PD,Gargett,1.61
1916,Oct-Dec,PD,Gargett,8.96
1917,Oct-Dec,PD,Gargett,7.51
1918,Oct-Dec,PD,Gargett,4.98
1919,Oct-Dec,PD,Gargett,7.96
1920,Oct-Dec,PD,Gargett,9.13
1921,Oct-Dec,PD,Gargett,13.17
1922,Oct-Dec,PD,Gargett,4.49
1923,Oct-Dec,PD,Gargett,1.75
1924,Oct-Dec,PD,Gargett,10.73
1925,Oct-Dec,PD,Gargett,7.5
1926,Oct-Dec,PD,Gargett,7.4
1927,Oct-Dec,PD,Gargett,6.86
1928,Oct-Dec,PD,Gargett,5.28
1929,Oct-Dec,PD,Gargett,4.63
1930,Oct-Dec,PD,Gargett,8.67
1931,Oct-Dec,PD,Gargett,3.87
1932,Oct-Dec,PD,Gargett,3.68
1933,Oct-Dec,PD,Gargett,14.24
1934,Oct-Dec,PD,Gargett,7.59
1935,Oct-Dec,PD,Gargett,2.13
1936,Oct-Dec,PD,Gargett,7.12
1937,Oct-Dec,PD,Gargett,3.41
1938,Oct-Dec,PD,Gargett,5.18
1939,Oct-Dec,PD,Gargett,5.78
1940,Oct-Dec,PD,Gargett,9.22
1941,Oct-Dec,PD,Gargett,7.09
1942,Oct-Dec,PD,Gargett,8.55
1943,Oct-Dec,PD,Gargett,6.44
1944,Oct-Dec,PD,Gargett,4.74
1945,Oct-Dec,PD,Gargett,6.65
1946,Oct-Dec,PD,Gargett,3.06
1947,Oct-Dec,PD,Gargett,4.82
1948,Oct-Dec,PD,Gargett,3.04
1949,Oct-Dec,PD,Gargett,3.88
1950,Oct-Dec,PD,Gargett,21.13
1951,Oct-Dec,PD,Gargett,2.15
1952,Oct-Dec,PD,Gargett,2.56
1953,Oct-Dec,PD,Gargett,1.2
1954,Oct-Dec,PD,Gargett,7.72
1955,Oct-Dec,PD,Gargett,7.52
1956,Oct-Dec,PD,Gargett,7.25
1957,Oct-Dec,PD,Gargett,7.09
1958,Oct-Dec,PD,Gargett,6.93
1959,Oct-Dec,PD,Gargett,3.77
1960,Oct-Dec,PD,Gargett,2.34
1961,Oct-Dec,PD,Gargett,6.01
1962,Oct-Dec,PD,Gargett,3.73
1963,Oct-Dec,PD,Gargett,8.47
1964,Oct-Dec,PD,Gargett,6.16
1965,Oct-Dec,PD,Gargett,2.28
1966,Oct-Dec,PD,Gargett,6.54
1967,Oct-Dec,PD,Gargett,7.88
1968,Oct-Dec,PD,Gargett,4.34
1969,Oct-Dec,PD,Gargett,2.35
1970,Oct-Dec,PD,Gargett,6.73
1971,Oct-Dec,PD,Gargett,2.17
1972,Oct-Dec,PD,Gargett,1.48
1973,Oct-Dec,PD,Gargett,5.69
1974,Oct-Dec,PD,Gargett,3.56
1975,Oct-Dec,PD,Gargett,7.69
1976,Oct-Dec,PD,Gargett,4.62
1977,Oct-Dec,PD,Gargett,4.66
1978,Oct-Dec,PD,Gargett,7.53
1979,Oct-Dec,PD,Gargett,6.06
1980,Oct-Dec,PD,Gargett,5.49
1981,Oct-Dec,PD,Gargett,4.49
1982,Oct-Dec,PD,Gargett,1.23
1983,Oct-Dec,PD,Gargett,5.52
1984,Oct-Dec,PD,Gargett,7.19
1985,Oct-Dec,PD,Gargett,7.78
1986,Oct-Dec,PD,Gargett,6.12
1987,Oct-Dec,PD,Gargett,7.58
1988,Oct-Dec,PD,Gargett,8.23
1989,Oct-Dec,PD,Gargett,8.04
1990,Oct-Dec,PD,Gargett,2.96
1991,Oct-Dec,PD,Gargett,1.36
1992,Oct-Dec,PD,Gargett,0
1993,Oct-Dec,PD,Gargett,6.47
1994,Oct-Dec,PD,Gargett,0.41
1995,Oct-Dec,PD,Gargett,6.36
1996,Oct-Dec,PD,Gargett,2.2
1997,Oct-Dec,PD,Gargett,5.25
1998,Oct-Dec,PD,Gargett,28.14
1999,Oct-Dec,PD,Gargett,8.21
2000,Oct-Dec,PD,Gargett,5.09
2001,Oct-Dec,PD,Gargett,4.22
2002,Oct-Dec,PD,Gargett,2.31
2003,Oct-Dec,PD,Gargett,3.73
2004,Oct-Dec,PD,Gargett,1.44
2005,Oct-Dec,PD,Gargett,5.63
2006,Oct-Dec,PD,Gargett,7.84
2007,Oct-Dec,PD,Gargett,6.95
2008,Oct-Dec,PD,Gargett,6.37
2009,Oct-Dec,PD,Gargett,7.51
2010,Oct-Dec,PD,Gargett,12.97
2011,Oct-Dec,PD,Gargett,8.02
2012,Oct-Dec,PD,Gargett,7.37
2013,Oct-Dec,PD,Gargett,7.01
2014,Oct-Dec,PD,Gargett,6.29
2015,Oct-Dec,PD,Gargett,6.18
2016,Oct-Dec,PD,Gargett,8.03
2017,Oct-Dec,PD,Gargett,6.83
2018,Oct-Dec,PD,Gargett,4.54
1889,Jan-Mar,FE,Gargett,19.49
1890,Jan-Mar,FE,Gargett,28.16
1891,Jan-Mar,FE,Gargett,9.38
1892,Jan-Mar,FE,Gargett,12.51
1893,Jan-Mar,FE,Gargett,21.91
1894,Jan-Mar,FE,Gargett,14.09
1895,Jan-Mar,FE,Gargett,17.71
1896,Jan-Mar,FE,Gargett,10.59
1897,Jan-Mar,FE,Gargett,16.94
1898,Jan-Mar,FE,Gargett,14.99
1899,Jan-Mar,FE,Gargett,12.45
1900,Jan-Mar,FE,Gargett,17.81
1901,Jan-Mar,FE,Gargett,6.73
1902,Jan-Mar,FE,Gargett,6.27
1903,Jan-Mar,FE,Gargett,16.71
1904,Jan-Mar,FE,Gargett,17.32
1905,Jan-Mar,FE,Gargett,14.49
1906,Jan-Mar,FE,Gargett,8.93
1907,Jan-Mar,FE,Gargett,10.88
1908,Jan-Mar,FE,Gargett,16.76
1909,Jan-Mar,FE,Gargett,9.67
1910,Jan-Mar,FE,Gargett,20.74
1911,Jan-Mar,FE,Gargett,9.44
1912,Jan-Mar,FE,Gargett,19.3
1913,Jan-Mar,FE,Gargett,18.54
1914,Jan-Mar,FE,Gargett,7.84
1915,Jan-Mar,FE,Gargett,8.06
1916,Jan-Mar,FE,Gargett,21.67
1917,Jan-Mar,FE,Gargett,12.49
1918,Jan-Mar,FE,Gargett,8.82
1919,Jan-Mar,FE,Gargett,7.97
1920,Jan-Mar,FE,Gargett,11.98
1921,Jan-Mar,FE,Gargett,14.6
1922,Jan-Mar,FE,Gargett,7.48
1923,Jan-Mar,FE,Gargett,11.05
1924,Jan-Mar,FE,Gargett,9.02
1925,Jan-Mar,FE,Gargett,6.51
1926,Jan-Mar,FE,Gargett,18.86
1927,Jan-Mar,FE,Gargett,21.66
1928,Jan-Mar,FE,Gargett,15.84
1929,Jan-Mar,FE,Gargett,9.54
1930,Jan-Mar,FE,Gargett,7.97
1931,Jan-Mar,FE,Gargett,7.48
1932,Jan-Mar,FE,Gargett,10.58
1933,Jan-Mar,FE,Gargett,15.29
1934,Jan-Mar,FE,Gargett,6.6
1935,Jan-Mar,FE,Gargett,5.37
1936,Jan-Mar,FE,Gargett,9.54
1937,Jan-Mar,FE,Gargett,6.85
1938,Jan-Mar,FE,Gargett,14.74
1939,Jan-Mar,FE,Gargett,14.58
1940,Jan-Mar,FE,Gargett,22.15
1941,Jan-Mar,FE,Gargett,8.29
1942,Jan-Mar,FE,Gargett,14.34
1943,Jan-Mar,FE,Gargett,12.13
1944,Jan-Mar,FE,Gargett,7.22
1945,Jan-Mar,FE,Gargett,21.5
1946,Jan-Mar,FE,Gargett,13.96
1947,Jan-Mar,FE,Gargett,7.52
1948,Jan-Mar,FE,Gargett,11.89
1949,Jan-Mar,FE,Gargett,14.3
1950,Jan-Mar,FE,Gargett,23.52
1951,Jan-Mar,FE,Gargett,11.34
1952,Jan-Mar,FE,Gargett,22.86
1953,Jan-Mar,FE,Gargett,15.08
1954,Jan-Mar,FE,Gargett,9.56
1955,Jan-Mar,FE,Gargett,23.52
1956,Jan-Mar,FE,Gargett,18.9
1957,Jan-Mar,FE,Gargett,12.95
1958,Jan-Mar,FE,Gargett,15.93
1959,Jan-Mar,FE,Gargett,18.72
1960,Jan-Mar,FE,Gargett,13.34
1961,Jan-Mar,FE,Gargett,11.27
1962,Jan-Mar,FE,Gargett,22.13
1963,Jan-Mar,FE,Gargett,6.85
1964,Jan-Mar,FE,Gargett,7.13
1965,Jan-Mar,FE,Gargett,8.84
1966,Jan-Mar,FE,Gargett,6.97
1967,Jan-Mar,FE,Gargett,16.86
1968,Jan-Mar,FE,Gargett,6.25
1969,Jan-Mar,FE,Gargett,14.53
1970,Jan-Mar,FE,Gargett,7.09
1971,Jan-Mar,FE,Gargett,19.5
1972,Jan-Mar,FE,Gargett,7.78
1973,Jan-Mar,FE,Gargett,18.82
1974,Jan-Mar,FE,Gargett,21.56
1975,Jan-Mar,FE,Gargett,19.59
